,topic,country_code,citizenship,gender,is_denominator,language,max_age,min_age,scholarity,audience,age_range
0,fitness and wellness,DZ,Locals,Male,False,NOTSELECTED,24,18,ND,480000,18-24
1,fitness and wellness,EG,Locals,Male,False,NOTSELECTED,24,18,ND,850000,18-24
2,fitness and wellness,IQ,Locals,Male,False,NOTSELECTED,24,18,ND,710000,18-24
3,fitness and wellness,JO,Locals,Male,False,NOTSELECTED,24,18,ND,130000,18-24
4,fitness and wellness,KW,Locals,Male,False,NOTSELECTED,24,18,ND,7900,18-24
5,fitness and wellness,LB,Locals,Male,False,NOTSELECTED,24,18,ND,91000,18-24
6,fitness and wellness,LY,Locals,Male,False,NOTSELECTED,24,18,ND,60000,18-24
7,fitness and wellness,MA,Locals,Male,False,NOTSELECTED,24,18,ND,480000,18-24
8,fitness and wellness,OM,Locals,Male,False,NOTSELECTED,24,18,ND,13000,18-24
9,fitness and wellness,QA,Locals,Male,False,NOTSELECTED,24,18,ND,13000,18-24
10,fitness and wellness,SA,Locals,Male,False,NOTSELECTED,24,18,ND,930000,18-24
11,fitness and wellness,SO,Locals,Male,False,NOTSELECTED,24,18,ND,24000,18-24
12,fitness and wellness,TN,Locals,Male,False,NOTSELECTED,24,18,ND,160000,18-24
13,fitness and wellness,AE,Locals,Male,False,NOTSELECTED,24,18,ND,37000,18-24
14,fitness and wellness,YE,Locals,Male,False,NOTSELECTED,24,18,ND,53000,18-24
15,fitness and wellness,PS,Locals,Male,False,NOTSELECTED,24,18,ND,21000,18-24
16,fitness and wellness,DZ,Locals,Male,False,NOTSELECTED,24,18,HS,200000,18-24
17,fitness and wellness,EG,Locals,Male,False,NOTSELECTED,24,18,HS,790000,18-24
18,fitness and wellness,IQ,Locals,Male,False,NOTSELECTED,24,18,HS,310000,18-24
19,fitness and wellness,JO,Locals,Male,False,NOTSELECTED,24,18,HS,110000,18-24
20,fitness and wellness,KW,Locals,Male,False,NOTSELECTED,24,18,HS,3000,18-24
21,fitness and wellness,LB,Locals,Male,False,NOTSELECTED,24,18,HS,48000,18-24
22,fitness and wellness,LY,Locals,Male,False,NOTSELECTED,24,18,HS,40000,18-24
23,fitness and wellness,MA,Locals,Male,False,NOTSELECTED,24,18,HS,270000,18-24
24,fitness and wellness,OM,Locals,Male,False,NOTSELECTED,24,18,HS,5300,18-24
