,topic,audience,country_code,citizenship,gender,is_denominator,scholarity,age_range
115532,cars vehicles,290000,DZ,Locals,Male,False,GRAD,18-24
115533,cars vehicles,2500,BH,Locals,Male,False,GRAD,18-24
115534,cars vehicles,710000,EG,Locals,Male,False,GRAD,18-24
115535,cars vehicles,170000,IQ,Locals,Male,False,GRAD,18-24
115536,cars vehicles,79000,JO,Locals,Male,False,GRAD,18-24
115537,cars vehicles,2100,KW,Locals,Male,False,GRAD,18-24
115538,cars vehicles,32000,LB,Locals,Male,False,GRAD,18-24
115539,cars vehicles,39000,LY,Locals,Male,False,GRAD,18-24
115540,cars vehicles,330000,MA,Locals,Male,False,GRAD,18-24
115541,cars vehicles,5300,OM,Locals,Male,False,GRAD,18-24
115542,cars vehicles,5400,QA,Locals,Male,False,GRAD,18-24
115543,cars vehicles,61000,SA,Locals,Male,False,GRAD,18-24
115544,cars vehicles,4600,SO,Locals,Male,False,GRAD,18-24
115545,cars vehicles,130000,TN,Locals,Male,False,GRAD,18-24
115546,cars vehicles,20000,AE,Locals,Male,False,GRAD,18-24
115547,cars vehicles,20000,YE,Locals,Male,False,GRAD,18-24
115548,cars vehicles,25000,PS,Locals,Male,False,GRAD,18-24
115651,cars vehicles,240000,DZ,Locals,Male,False,ND,18-24
115652,cars vehicles,2000,BH,Locals,Male,False,ND,18-24
115653,cars vehicles,280000,EG,Locals,Male,False,ND,18-24
115654,cars vehicles,150000,IQ,Locals,Male,False,ND,18-24
115655,cars vehicles,54000,JO,Locals,Male,False,ND,18-24
115656,cars vehicles,3400,KW,Locals,Male,False,ND,18-24
115657,cars vehicles,34000,LB,Locals,Male,False,ND,18-24
115658,cars vehicles,22000,LY,Locals,Male,False,ND,18-24
115659,cars vehicles,190000,MA,Locals,Male,False,ND,18-24
115660,cars vehicles,4800,OM,Locals,Male,False,ND,18-24
115661,cars vehicles,3700,QA,Locals,Male,False,ND,18-24
115662,cars vehicles,170000,SA,Locals,Male,False,ND,18-24
115663,cars vehicles,3400,SO,Locals,Male,False,ND,18-24
115664,cars vehicles,80000,TN,Locals,Male,False,ND,18-24
115665,cars vehicles,17000,AE,Locals,Male,False,ND,18-24
115666,cars vehicles,12000,YE,Locals,Male,False,ND,18-24
115667,cars vehicles,9800,PS,Locals,Male,False,ND,18-24
115770,cars vehicles,130000,DZ,Locals,Male,False,HS,18-24
115771,cars vehicles,1400,BH,Locals,Male,False,HS,18-24
115772,cars vehicles,440000,EG,Locals,Male,False,HS,18-24
115773,cars vehicles,120000,IQ,Locals,Male,False,HS,18-24
115774,cars vehicles,68000,JO,Locals,Male,False,HS,18-24
115775,cars vehicles,1200,KW,Locals,Male,False,HS,18-24
115776,cars vehicles,25000,LB,Locals,Male,False,HS,18-24
115777,cars vehicles,24000,LY,Locals,Male,False,HS,18-24
115778,cars vehicles,140000,MA,Locals,Male,False,HS,18-24
115779,cars vehicles,2900,OM,Locals,Male,False,HS,18-24
115780,cars vehicles,1800,QA,Locals,Male,False,HS,18-24
115781,cars vehicles,32000,SA,Locals,Male,False,HS,18-24
115782,cars vehicles,1900,SO,Locals,Male,False,HS,18-24
115783,cars vehicles,64000,TN,Locals,Male,False,HS,18-24
115784,cars vehicles,7500,AE,Locals,Male,False,HS,18-24
115785,cars vehicles,12000,YE,Locals,Male,False,HS,18-24
115786,cars vehicles,16000,PS,Locals,Male,False,HS,18-24
116722,cars vehicles,90000,DZ,Locals,Female,False,GRAD,18-24
116723,cars vehicles,830,BH,Locals,Female,False,GRAD,18-24
116724,cars vehicles,230000,EG,Locals,Female,False,GRAD,18-24
116725,cars vehicles,21000,IQ,Locals,Female,False,GRAD,18-24
116726,cars vehicles,29000,JO,Locals,Female,False,GRAD,18-24
116727,cars vehicles,640,KW,Locals,Female,False,GRAD,18-24
116728,cars vehicles,21000,LB,Locals,Female,False,GRAD,18-24
116729,cars vehicles,15000,LY,Locals,Female,False,GRAD,18-24
116730,cars vehicles,93000,MA,Locals,Female,False,GRAD,18-24
116731,cars vehicles,610,OM,Locals,Female,False,GRAD,18-24
