,topic,audience,country_code,citizenship,gender,is_denominator,scholarity,age_range
129812,shopping,730000,DZ,Locals,Male,False,GRAD,18-24
129813,shopping,9800,BH,Locals,Male,False,GRAD,18-24
129814,shopping,1900000,EG,Locals,Male,False,GRAD,18-24
129815,shopping,740000,IQ,Locals,Male,False,GRAD,18-24
129816,shopping,190000,JO,Locals,Male,False,GRAD,18-24
129817,shopping,11000,KW,Locals,Male,False,GRAD,18-24
129818,shopping,75000,LB,Locals,Male,False,GRAD,18-24
129819,shopping,110000,LY,Locals,Male,False,GRAD,18-24
129820,shopping,830000,MA,Locals,Male,False,GRAD,18-24
129821,shopping,24000,OM,Locals,Male,False,GRAD,18-24
129822,shopping,18000,QA,Locals,Male,False,GRAD,18-24
129823,shopping,300000,SA,Locals,Male,False,GRAD,18-24
129824,shopping,37000,SO,Locals,Male,False,GRAD,18-24
129825,shopping,260000,TN,Locals,Male,False,GRAD,18-24
129826,shopping,62000,AE,Locals,Male,False,GRAD,18-24
129827,shopping,99000,YE,Locals,Male,False,GRAD,18-24
129828,shopping,73000,PS,Locals,Male,False,GRAD,18-24
129931,shopping,1100000,DZ,Locals,Male,False,ND,18-24
129932,shopping,21000,BH,Locals,Male,False,ND,18-24
129933,shopping,1600000,EG,Locals,Male,False,ND,18-24
129934,shopping,1300000,IQ,Locals,Male,False,ND,18-24
129935,shopping,230000,JO,Locals,Male,False,ND,18-24
129936,shopping,49000,KW,Locals,Male,False,ND,18-24
129937,shopping,150000,LB,Locals,Male,False,ND,18-24
129938,shopping,120000,LY,Locals,Male,False,ND,18-24
129939,shopping,820000,MA,Locals,Male,False,ND,18-24
129940,shopping,54000,OM,Locals,Male,False,ND,18-24
129941,shopping,39000,QA,Locals,Male,False,ND,18-24
129942,shopping,1400000,SA,Locals,Male,False,ND,18-24
129943,shopping,48000,SO,Locals,Male,False,ND,18-24
129944,shopping,290000,TN,Locals,Male,False,ND,18-24
129945,shopping,140000,AE,Locals,Male,False,ND,18-24
129946,shopping,130000,YE,Locals,Male,False,ND,18-24
129947,shopping,54000,PS,Locals,Male,False,ND,18-24
130050,shopping,330000,DZ,Locals,Male,False,HS,18-24
130051,shopping,6100,BH,Locals,Male,False,HS,18-24
130052,shopping,1100000,EG,Locals,Male,False,HS,18-24
130053,shopping,450000,IQ,Locals,Male,False,HS,18-24
130054,shopping,140000,JO,Locals,Male,False,HS,18-24
130055,shopping,6800,KW,Locals,Male,False,HS,18-24
130056,shopping,58000,LB,Locals,Male,False,HS,18-24
130057,shopping,60000,LY,Locals,Male,False,HS,18-24
130058,shopping,350000,MA,Locals,Male,False,HS,18-24
130059,shopping,12000,OM,Locals,Male,False,HS,18-24
130060,shopping,7200,QA,Locals,Male,False,HS,18-24
130061,shopping,170000,SA,Locals,Male,False,HS,18-24
130062,shopping,13000,SO,Locals,Male,False,HS,18-24
130063,shopping,140000,TN,Locals,Male,False,HS,18-24
130064,shopping,26000,AE,Locals,Male,False,HS,18-24
