,age_range,gender,citizenship,scholarity,audience,topic,country_code
7344,18-24,Male,Expats,Graduated,2200,stroke heart disease,DZ
7345,25-44,Male,Expats,Graduated,3300,stroke heart disease,DZ
7346,45+,Male,Expats,Graduated,590,stroke heart disease,DZ
7347,18-24,Female,Expats,Graduated,1000,stroke heart disease,DZ
7348,25-44,Female,Expats,Graduated,1100,stroke heart disease,DZ
7349,45+,Female,Expats,Graduated,370,stroke heart disease,DZ
7350,18-24,Male,Expats,No Degree,1500,stroke heart disease,DZ
7351,25-44,Male,Expats,No Degree,3700,stroke heart disease,DZ
7352,45+,Male,Expats,No Degree,870,stroke heart disease,DZ
7353,18-24,Female,Expats,No Degree,570,stroke heart disease,DZ
7354,25-44,Female,Expats,No Degree,1300,stroke heart disease,DZ
7355,45+,Female,Expats,No Degree,420,stroke heart disease,DZ
7356,18-24,Male,Expats,High School,760,stroke heart disease,DZ
7357,25-44,Male,Expats,High School,760,stroke heart disease,DZ
7358,45+,Male,Expats,High School,200,stroke heart disease,DZ
7359,18-24,Female,Expats,High School,470,stroke heart disease,DZ
7360,25-44,Female,Expats,High School,230,stroke heart disease,DZ
7361,45+,Female,Expats,High School,140,stroke heart disease,DZ
7362,18-24,Male,Locals,Graduated,9600,stroke heart disease,DZ
7363,25-44,Male,Locals,Graduated,26000,stroke heart disease,DZ
7364,45+,Male,Locals,Graduated,5000,stroke heart disease,DZ
7365,18-24,Female,Locals,Graduated,11000,stroke heart disease,DZ
7366,25-44,Female,Locals,Graduated,18000,stroke heart disease,DZ
7367,45+,Female,Locals,Graduated,3200,stroke heart disease,DZ
7368,18-24,Male,Locals,No Degree,13000,stroke heart disease,DZ
7369,25-44,Male,Locals,No Degree,40000,stroke heart disease,DZ
7370,45+,Male,Locals,No Degree,8600,stroke heart disease,DZ
7371,18-24,Female,Locals,No Degree,11000,stroke heart disease,DZ
7372,25-44,Female,Locals,No Degree,20000,stroke heart disease,DZ
7373,45+,Female,Locals,No Degree,5600,stroke heart disease,DZ
7374,18-24,Male,Locals,High School,4300,stroke heart disease,DZ
7375,25-44,Male,Locals,High School,7100,stroke heart disease,DZ
7376,45+,Male,Locals,High School,1800,stroke heart disease,DZ
7377,18-24,Female,Locals,High School,4500,stroke heart disease,DZ
7378,25-44,Female,Locals,High School,3700,stroke heart disease,DZ
7379,45+,Female,Locals,High School,1100,stroke heart disease,DZ
7380,18-24,Male,Expats,Graduated,270,stroke heart disease,BH
7381,25-44,Male,Expats,Graduated,1100,stroke heart disease,BH
7382,45+,Male,Expats,Graduated,190,stroke heart disease,BH
7383,18-24,Female,Expats,Graduated,40,stroke heart disease,BH
7384,25-44,Female,Expats,Graduated,850,stroke heart disease,BH
7385,45+,Female,Expats,Graduated,690,stroke heart disease,BH
7386,18-24,Male,Expats,No Degree,110,stroke heart disease,BH
7387,25-44,Male,Expats,No Degree,410,stroke heart disease,BH
7388,45+,Male,Expats,No Degree,90,stroke heart disease,BH
7389,18-24,Female,Expats,No Degree,40,stroke heart disease,BH
7390,25-44,Female,Expats,No Degree,240,stroke heart disease,BH
7391,45+,Female,Expats,No Degree,410,stroke heart disease,BH
7392,18-24,Male,Expats,High School,70,stroke heart disease,BH
7393,25-44,Male,Expats,High School,300,stroke heart disease,BH
7394,45+,Male,Expats,High School,50,stroke heart disease,BH
7395,18-24,Female,Expats,High School,20,stroke heart disease,BH
7396,25-44,Female,Expats,High School,270,stroke heart disease,BH
7397,45+,Female,Expats,High School,250,stroke heart disease,BH
7398,18-24,Male,Locals,Graduated,60,stroke heart disease,BH
7399,25-44,Male,Locals,Graduated,110,stroke heart disease,BH
7400,45+,Male,Locals,Graduated,20,stroke heart disease,BH
7401,18-24,Female,Locals,Graduated,20,stroke heart disease,BH
7402,25-44,Female,Locals,Graduated,230,stroke heart disease,BH
7403,45+,Female,Locals,Graduated,90,stroke heart disease,BH
7404,18-24,Male,Locals,No Degree,20,stroke heart disease,BH
7405,25-44,Male,Locals,No Degree,60,stroke heart disease,BH
7406,45+,Male,Locals,No Degree,20,stroke heart disease,BH
7407,18-24,Female,Locals,No Degree,20,stroke heart disease,BH
7408,25-44,Female,Locals,No Degree,100,stroke heart disease,BH
7409,45+,Female,Locals,No Degree,40,stroke heart disease,BH
7410,18-24,Male,Locals,High School,40,stroke heart disease,BH
7411,25-44,Male,Locals,High School,20,stroke heart disease,BH
7412,45+,Male,Locals,High School,20,stroke heart disease,BH
7413,18-24,Female,Locals,High School,20,stroke heart disease,BH
7414,25-44,Female,Locals,High School,90,stroke heart disease,BH
7415,45+,Female,Locals,High School,20,stroke heart disease,BH
7416,18-24,Male,Expats,Graduated,2800,stroke heart disease,EG
7417,25-44,Male,Expats,Graduated,6000,stroke heart disease,EG
7418,45+,Male,Expats,Graduated,1700,stroke heart disease,EG
7419,18-24,Female,Expats,Graduated,1300,stroke heart disease,EG
7420,25-44,Female,Expats,Graduated,3000,stroke heart disease,EG
7421,45+,Female,Expats,Graduated,990,stroke heart disease,EG
7422,18-24,Male,Expats,No Degree,810,stroke heart disease,EG
7423,25-44,Male,Expats,No Degree,1700,stroke heart disease,EG
7424,45+,Male,Expats,No Degree,1100,stroke heart disease,EG
7425,18-24,Female,Expats,No Degree,350,stroke heart disease,EG
7426,25-44,Female,Expats,No Degree,850,stroke heart disease,EG
7427,45+,Female,Expats,No Degree,1100,stroke heart disease,EG
7428,18-24,Male,Expats,High School,1800,stroke heart disease,EG
7429,25-44,Male,Expats,High School,1400,stroke heart disease,EG
7430,45+,Male,Expats,High School,370,stroke heart disease,EG
7431,18-24,Female,Expats,High School,930,stroke heart disease,EG
7432,25-44,Female,Expats,High School,550,stroke heart disease,EG
7433,45+,Female,Expats,High School,260,stroke heart disease,EG
7434,18-24,Male,Locals,Graduated,56000,stroke heart disease,EG
7435,25-44,Male,Locals,Graduated,120000,stroke heart disease,EG
7436,45+,Male,Locals,Graduated,33000,stroke heart disease,EG
7437,18-24,Female,Locals,Graduated,37000,stroke heart disease,EG
7438,25-44,Female,Locals,Graduated,67000,stroke heart disease,EG
7439,45+,Female,Locals,Graduated,22000,stroke heart disease,EG
7440,18-24,Male,Locals,No Degree,31000,stroke heart disease,EG
7441,25-44,Male,Locals,No Degree,63000,stroke heart disease,EG
7442,45+,Male,Locals,No Degree,36000,stroke heart disease,EG
7443,18-24,Female,Locals,No Degree,18000,stroke heart disease,EG
7444,25-44,Female,Locals,No Degree,37000,stroke heart disease,EG
7445,45+,Female,Locals,No Degree,35000,stroke heart disease,EG
7446,18-24,Male,Locals,High School,36000,stroke heart disease,EG
7447,25-44,Male,Locals,High School,24000,stroke heart disease,EG
7448,45+,Male,Locals,High School,8200,stroke heart disease,EG
7449,18-24,Female,Locals,High School,27000,stroke heart disease,EG
7450,25-44,Female,Locals,High School,11000,stroke heart disease,EG
7451,45+,Female,Locals,High School,4800,stroke heart disease,EG
7452,18-24,Male,Expats,Graduated,910,stroke heart disease,IQ
7453,25-44,Male,Expats,Graduated,3400,stroke heart disease,IQ
7454,45+,Male,Expats,Graduated,790,stroke heart disease,IQ
7455,18-24,Female,Expats,Graduated,620,stroke heart disease,IQ
7456,25-44,Female,Expats,Graduated,1400,stroke heart disease,IQ
7457,45+,Female,Expats,Graduated,270,stroke heart disease,IQ
7458,18-24,Male,Expats,No Degree,660,stroke heart disease,IQ
7459,25-44,Male,Expats,No Degree,1500,stroke heart disease,IQ
7460,45+,Male,Expats,No Degree,560,stroke heart disease,IQ
7461,18-24,Female,Expats,No Degree,630,stroke heart disease,IQ
7462,25-44,Female,Expats,No Degree,960,stroke heart disease,IQ
7463,45+,Female,Expats,No Degree,290,stroke heart disease,IQ
7464,18-24,Male,Expats,High School,480,stroke heart disease,IQ
7465,25-44,Male,Expats,High School,760,stroke heart disease,IQ
7466,45+,Male,Expats,High School,210,stroke heart disease,IQ
7467,18-24,Female,Expats,High School,540,stroke heart disease,IQ
7468,25-44,Female,Expats,High School,470,stroke heart disease,IQ
7469,45+,Female,Expats,High School,90,stroke heart disease,IQ
7470,18-24,Male,Locals,Graduated,8100,stroke heart disease,IQ
7471,25-44,Male,Locals,Graduated,36000,stroke heart disease,IQ
7472,45+,Male,Locals,Graduated,11000,stroke heart disease,IQ
7473,18-24,Female,Locals,Graduated,11000,stroke heart disease,IQ
7474,25-44,Female,Locals,Graduated,25000,stroke heart disease,IQ
7475,45+,Female,Locals,Graduated,4400,stroke heart disease,IQ
7476,18-24,Male,Locals,No Degree,14000,stroke heart disease,IQ
7477,25-44,Male,Locals,No Degree,35000,stroke heart disease,IQ
7478,45+,Male,Locals,No Degree,15000,stroke heart disease,IQ
7479,18-24,Female,Locals,No Degree,21000,stroke heart disease,IQ
7480,25-44,Female,Locals,No Degree,28000,stroke heart disease,IQ
7481,45+,Female,Locals,No Degree,8200,stroke heart disease,IQ
7482,18-24,Male,Locals,High School,5800,stroke heart disease,IQ
7483,25-44,Male,Locals,High School,11000,stroke heart disease,IQ
7484,45+,Male,Locals,High School,3400,stroke heart disease,IQ
7485,18-24,Female,Locals,High School,11000,stroke heart disease,IQ
7486,25-44,Female,Locals,High School,7800,stroke heart disease,IQ
