,topic,country_code,citizenship,gender,is_denominator,language,languages,max_age,min_age,scholarity,audience,age_range
10080,cars vehicles,DZ,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,210000,18-24
10081,cars vehicles,EG,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,600000,18-24
10082,cars vehicles,IQ,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,120000,18-24
10083,cars vehicles,JO,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,55000,18-24
10084,cars vehicles,KW,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,1200,18-24
10085,cars vehicles,LB,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,31000,18-24
10086,cars vehicles,LY,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,19000,18-24
10087,cars vehicles,MA,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,240000,18-24
10088,cars vehicles,OM,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,2600,18-24
10089,cars vehicles,QA,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,470,18-24
10090,cars vehicles,SA,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,80000,18-24
10091,cars vehicles,SO,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,980,18-24
10092,cars vehicles,TN,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,70000,18-24
10093,cars vehicles,AE,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,2900,18-24
10094,cars vehicles,YE,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,12000,18-24
10095,cars vehicles,PS,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,9600,18-24
10096,cars vehicles,DZ,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,22000,18-24
10097,cars vehicles,EG,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,85000,18-24
10098,cars vehicles,IQ,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,44000,18-24
10099,cars vehicles,JO,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,15000,18-24
10100,cars vehicles,KW,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,1400,18-24
10101,cars vehicles,LB,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,29000,18-24
10102,cars vehicles,LY,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,3700,18-24
10103,cars vehicles,MA,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,41000,18-24
10104,cars vehicles,OM,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,1400,18-24
10105,cars vehicles,QA,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,2100,18-24
10106,cars vehicles,SA,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,100000,18-24
10107,cars vehicles,SO,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,2500,18-24
10108,cars vehicles,TN,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,16000,18-24
10109,cars vehicles,AE,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,9000,18-24
10110,cars vehicles,YE,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,1100,18-24
10111,cars vehicles,PS,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,1900,18-24
10112,cars vehicles,DZ,Locals,Male,False,European,NOTSELECTED,24.0,18,ND,8000,18-24
10113,cars vehicles,EG,Locals,Male,False,European,NOTSELECTED,24.0,18,ND,9300,18-24
10114,cars vehicles,IQ,Locals,Male,False,European,NOTSELECTED,24.0,18,ND,1200,18-24
10115,cars vehicles,JO,Locals,Male,False,European,NOTSELECTED,24.0,18,ND,590,18-24
10116,cars vehicles,KW,Locals,Male,False,European,NOTSELECTED,24.0,18,ND,0,18-24
10117,cars vehicles,LB,Locals,Male,False,European,NOTSELECTED,24.0,18,ND,630,18-24
10118,cars vehicles,LY,Locals,Male,False,European,NOTSELECTED,24.0,18,ND,250,18-24
10119,cars vehicles,MA,Locals,Male,False,European,NOTSELECTED,24.0,18,ND,17000,18-24
10120,cars vehicles,OM,Locals,Male,False,European,NOTSELECTED,24.0,18,ND,60,18-24
10121,cars vehicles,QA,Locals,Male,False,European,NOTSELECTED,24.0,18,ND,0,18-24
10122,cars vehicles,SA,Locals,Male,False,European,NOTSELECTED,24.0,18,ND,2700,18-24
10123,cars vehicles,SO,Locals,Male,False,European,NOTSELECTED,24.0,18,ND,30,18-24
10124,cars vehicles,TN,Locals,Male,False,European,NOTSELECTED,24.0,18,ND,5600,18-24
10125,cars vehicles,AE,Locals,Male,False,European,NOTSELECTED,24.0,18,ND,210,18-24
10126,cars vehicles,YE,Locals,Male,False,European,NOTSELECTED,24.0,18,ND,40,18-24
10127,cars vehicles,PS,Locals,Male,False,European,NOTSELECTED,24.0,18,ND,110,18-24
10128,cars vehicles,DZ,Locals,Male,False,Indian,NOTSELECTED,24.0,18,ND,270,18-24
10129,cars vehicles,EG,Locals,Male,False,Indian,NOTSELECTED,24.0,18,ND,1400,18-24
10130,cars vehicles,IQ,Locals,Male,False,Indian,NOTSELECTED,24.0,18,ND,140,18-24
10131,cars vehicles,JO,Locals,Male,False,Indian,NOTSELECTED,24.0,18,ND,110,18-24
10132,cars vehicles,KW,Locals,Male,False,Indian,NOTSELECTED,24.0,18,ND,200,18-24
10133,cars vehicles,LB,Locals,Male,False,Indian,NOTSELECTED,24.0,18,ND,40,18-24
10134,cars vehicles,LY,Locals,Male,False,Indian,NOTSELECTED,24.0,18,ND,0,18-24
10135,cars vehicles,MA,Locals,Male,False,Indian,NOTSELECTED,24.0,18,ND,940,18-24
10136,cars vehicles,OM,Locals,Male,False,Indian,NOTSELECTED,24.0,18,ND,490,18-24
10137,cars vehicles,QA,Locals,Male,False,Indian,NOTSELECTED,24.0,18,ND,1100,18-24
10138,cars vehicles,SA,Locals,Male,False,Indian,NOTSELECTED,24.0,18,ND,65000,18-24
10139,cars vehicles,SO,Locals,Male,False,Indian,NOTSELECTED,24.0,18,ND,0,18-24
10140,cars vehicles,TN,Locals,Male,False,Indian,NOTSELECTED,24.0,18,ND,60,18-24
10141,cars vehicles,AE,Locals,Male,False,Indian,NOTSELECTED,24.0,18,ND,3900,18-24
10142,cars vehicles,YE,Locals,Male,False,Indian,NOTSELECTED,24.0,18,ND,0,18-24
10143,cars vehicles,PS,Locals,Male,False,Indian,NOTSELECTED,24.0,18,ND,0,18-24
10144,cars vehicles,DZ,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,2000,18-24
10145,cars vehicles,EG,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,2200,18-24
10146,cars vehicles,IQ,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,1100,18-24
10147,cars vehicles,JO,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,240,18-24
10148,cars vehicles,KW,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,100,18-24
10149,cars vehicles,LB,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,460,18-24
10150,cars vehicles,LY,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,0,18-24
10151,cars vehicles,MA,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,4600,18-24
10152,cars vehicles,OM,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,60,18-24
10153,cars vehicles,QA,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,180,18-24
10154,cars vehicles,SA,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,16000,18-24
10155,cars vehicles,SO,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,600,18-24
10156,cars vehicles,TN,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,1700,18-24
10157,cars vehicles,AE,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,1100,18-24
10158,cars vehicles,YE,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,50,18-24
10159,cars vehicles,PS,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,0,18-24
10160,cars vehicles,DZ,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,120000,18-24
10161,cars vehicles,EG,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,570000,18-24
10162,cars vehicles,IQ,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,110000,18-24
10163,cars vehicles,JO,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,72000,18-24
10164,cars vehicles,KW,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,550,18-24
10165,cars vehicles,LB,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,26000,18-24
10166,cars vehicles,LY,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,23000,18-24
10167,cars vehicles,MA,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,170000,18-24
10168,cars vehicles,OM,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,2400,18-24
10169,cars vehicles,QA,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,410,18-24
10170,cars vehicles,SA,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,20000,18-24
10171,cars vehicles,SO,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,810,18-24
10172,cars vehicles,TN,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,61000,18-24
10173,cars vehicles,AE,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,1900,18-24
10174,cars vehicles,YE,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,13000,18-24
10175,cars vehicles,PS,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,16000,18-24
10176,cars vehicles,DZ,Locals,Male,False,English,NOTSELECTED,24.0,18,HS,27000,18-24
10177,cars vehicles,EG,Locals,Male,False,English,NOTSELECTED,24.0,18,HS,260000,18-24
10178,cars vehicles,IQ,Locals,Male,False,English,NOTSELECTED,24.0,18,HS,51000,18-24
