,interest,country_code,citizenship,gender,is_denominator,language,max_age,min_age,scholarity,audience,age_range
160344,demographic_data,DZ,Locals,Male,True,Arabic,24.0,18,ND,1800000,18-24
160346,demographic_data,EG,Locals,Male,True,Arabic,24.0,18,ND,3000000,18-24
160347,demographic_data,IQ,Locals,Male,True,Arabic,24.0,18,ND,2300000,18-24
160348,demographic_data,JO,Locals,Male,True,Arabic,24.0,18,ND,480000,18-24
160349,demographic_data,KW,Locals,Male,True,Arabic,24.0,18,ND,87000,18-24
160350,demographic_data,LB,Locals,Male,True,Arabic,24.0,18,ND,310000,18-24
160351,demographic_data,LY,Locals,Male,True,Arabic,24.0,18,ND,270000,18-24
160352,demographic_data,MA,Locals,Male,True,Arabic,24.0,18,ND,1200000,18-24
160353,demographic_data,OM,Locals,Male,True,Arabic,24.0,18,ND,88000,18-24
160354,demographic_data,QA,Locals,Male,True,Arabic,24.0,18,ND,28000,18-24
160355,demographic_data,SA,Locals,Male,True,Arabic,24.0,18,ND,1200000,18-24
160356,demographic_data,SO,Locals,Male,True,Arabic,24.0,18,ND,29000,18-24
160357,demographic_data,TN,Locals,Male,True,Arabic,24.0,18,ND,380000,18-24
160358,demographic_data,AE,Locals,Male,True,Arabic,24.0,18,ND,95000,18-24
160359,demographic_data,YE,Locals,Male,True,Arabic,24.0,18,ND,380000,18-24
160360,demographic_data,PS,Locals,Male,True,Arabic,24.0,18,ND,120000,18-24
160361,demographic_data,DZ,Locals,Male,True,English,24.0,18,ND,140000,18-24
160363,demographic_data,EG,Locals,Male,True,English,24.0,18,ND,350000,18-24
160364,demographic_data,IQ,Locals,Male,True,English,24.0,18,ND,330000,18-24
160365,demographic_data,JO,Locals,Male,True,English,24.0,18,ND,82000,18-24
160366,demographic_data,KW,Locals,Male,True,English,24.0,18,ND,180000,18-24
160367,demographic_data,LB,Locals,Male,True,English,24.0,18,ND,170000,18-24
160368,demographic_data,LY,Locals,Male,True,English,24.0,18,ND,30000,18-24
160369,demographic_data,MA,Locals,Male,True,English,24.0,18,ND,140000,18-24
160370,demographic_data,OM,Locals,Male,True,English,24.0,18,ND,210000,18-24
160371,demographic_data,QA,Locals,Male,True,English,24.0,18,ND,280000,18-24
160372,demographic_data,SA,Locals,Male,True,English,24.0,18,ND,1400000,18-24
160373,demographic_data,SO,Locals,Male,True,English,24.0,18,ND,140000,18-24
160374,demographic_data,TN,Locals,Male,True,English,24.0,18,ND,62000,18-24
160375,demographic_data,AE,Locals,Male,True,English,24.0,18,ND,690000,18-24
160376,demographic_data,YE,Locals,Male,True,English,24.0,18,ND,19000,18-24
160377,demographic_data,PS,Locals,Male,True,English,24.0,18,ND,15000,18-24
160378,demographic_data,DZ,Locals,Male,True,European,24.0,18,ND,78000,18-24
160380,demographic_data,EG,Locals,Male,True,European,24.0,18,ND,39000,18-24
160381,demographic_data,IQ,Locals,Male,True,European,24.0,18,ND,21000,18-24
160382,demographic_data,JO,Locals,Male,True,European,24.0,18,ND,4400,18-24
160383,demographic_data,KW,Locals,Male,True,European,24.0,18,ND,2900,18-24
160384,demographic_data,LB,Locals,Male,True,European,24.0,18,ND,5900,18-24
160385,demographic_data,LY,Locals,Male,True,European,24.0,18,ND,3600,18-24
160386,demographic_data,MA,Locals,Male,True,European,24.0,18,ND,85000,18-24
160387,demographic_data,OM,Locals,Male,True,European,24.0,18,ND,4200,18-24
