,topic,country_code,citizenship,gender,is_denominator,language,languages,max_age,min_age,scholarity,audience,age_range
12960,fast food,DZ,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,65000,18-24
12961,fast food,EG,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,410000,18-24
12962,fast food,IQ,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,75000,18-24
12963,fast food,JO,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,51000,18-24
12964,fast food,KW,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,1200,18-24
12965,fast food,LB,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,23000,18-24
12966,fast food,LY,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,11000,18-24
12967,fast food,MA,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,67000,18-24
12968,fast food,OM,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,2600,18-24
12969,fast food,QA,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,450,18-24
12970,fast food,SA,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,150000,18-24
12971,fast food,SO,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,410,18-24
12972,fast food,TN,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,28000,18-24
12973,fast food,AE,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,3800,18-24
12974,fast food,YE,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,9700,18-24
12975,fast food,PS,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,6600,18-24
12976,fast food,DZ,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,7500,18-24
12977,fast food,EG,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,71000,18-24
12978,fast food,IQ,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,24000,18-24
12979,fast food,JO,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,13000,18-24
12980,fast food,KW,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,1100,18-24
12981,fast food,LB,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,21000,18-24
12982,fast food,LY,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,2500,18-24
12983,fast food,MA,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,14000,18-24
12984,fast food,OM,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,1100,18-24
12985,fast food,QA,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,1700,18-24
12986,fast food,SA,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,310000,18-24
12987,fast food,SO,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,960,18-24
12988,fast food,TN,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,7100,18-24
12989,fast food,AE,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,14000,18-24
12990,fast food,YE,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,960,18-24
12991,fast food,PS,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,1500,18-24
12992,fast food,DZ,Locals,Male,False,European,NOTSELECTED,24.0,18,ND,2400,18-24
12993,fast food,EG,Locals,Male,False,European,NOTSELECTED,24.0,18,ND,5700,18-24
12994,fast food,IQ,Locals,Male,False,European,NOTSELECTED,24.0,18,ND,630,18-24
12995,fast food,JO,Locals,Male,False,European,NOTSELECTED,24.0,18,ND,450,18-24
12996,fast food,KW,Locals,Male,False,European,NOTSELECTED,24.0,18,ND,40,18-24
12997,fast food,LB,Locals,Male,False,European,NOTSELECTED,24.0,18,ND,570,18-24
12998,fast food,LY,Locals,Male,False,European,NOTSELECTED,24.0,18,ND,150,18-24
12999,fast food,MA,Locals,Male,False,European,NOTSELECTED,24.0,18,ND,4800,18-24
13000,fast food,OM,Locals,Male,False,European,NOTSELECTED,24.0,18,ND,30,18-24
13001,fast food,QA,Locals,Male,False,European,NOTSELECTED,24.0,18,ND,0,18-24
13002,fast food,SA,Locals,Male,False,European,NOTSELECTED,24.0,18,ND,6900,18-24
13003,fast food,SO,Locals,Male,False,European,NOTSELECTED,24.0,18,ND,0,18-24
13004,fast food,TN,Locals,Male,False,European,NOTSELECTED,24.0,18,ND,2500,18-24
