,interest,country_code,citizenship,gender,is_denominator,language,max_age,min_age,scholarity,audience,age_range
42840,smoking awareness,DZ,Locals,Male,False,Arabic,24.0,18,ND,1200,18-24
42842,smoking awareness,EG,Locals,Male,False,Arabic,24.0,18,ND,3700,18-24
42843,smoking awareness,IQ,Locals,Male,False,Arabic,24.0,18,ND,1900,18-24
42844,smoking awareness,JO,Locals,Male,False,Arabic,24.0,18,ND,1000,18-24
42845,smoking awareness,KW,Locals,Male,False,Arabic,24.0,18,ND,0,18-24
42846,smoking awareness,LB,Locals,Male,False,Arabic,24.0,18,ND,0,18-24
42847,smoking awareness,LY,Locals,Male,False,Arabic,24.0,18,ND,110,18-24
42848,smoking awareness,MA,Locals,Male,False,Arabic,24.0,18,ND,800,18-24
42849,smoking awareness,OM,Locals,Male,False,Arabic,24.0,18,ND,0,18-24
42850,smoking awareness,QA,Locals,Male,False,Arabic,24.0,18,ND,0,18-24
42851,smoking awareness,SA,Locals,Male,False,Arabic,24.0,18,ND,660,18-24
42852,smoking awareness,SO,Locals,Male,False,Arabic,24.0,18,ND,0,18-24
42853,smoking awareness,TN,Locals,Male,False,Arabic,24.0,18,ND,790,18-24
42854,smoking awareness,AE,Locals,Male,False,Arabic,24.0,18,ND,230,18-24
42855,smoking awareness,YE,Locals,Male,False,Arabic,24.0,18,ND,0,18-24
42856,smoking awareness,PS,Locals,Male,False,Arabic,24.0,18,ND,100,18-24
42857,smoking awareness,DZ,Locals,Male,False,English,24.0,18,ND,150,18-24
42859,smoking awareness,EG,Locals,Male,False,English,24.0,18,ND,740,18-24
42860,smoking awareness,IQ,Locals,Male,False,English,24.0,18,ND,430,18-24
42861,smoking awareness,JO,Locals,Male,False,English,24.0,18,ND,110,18-24
42862,smoking awareness,KW,Locals,Male,False,English,24.0,18,ND,0,18-24
42863,smoking awareness,LB,Locals,Male,False,English,24.0,18,ND,0,18-24
42864,smoking awareness,LY,Locals,Male,False,English,24.0,18,ND,0,18-24
42865,smoking awareness,MA,Locals,Male,False,English,24.0,18,ND,180,18-24
42866,smoking awareness,OM,Locals,Male,False,English,24.0,18,ND,0,18-24
42867,smoking awareness,QA,Locals,Male,False,English,24.0,18,ND,0,18-24
42868,smoking awareness,SA,Locals,Male,False,English,24.0,18,ND,2900,18-24
42869,smoking awareness,SO,Locals,Male,False,English,24.0,18,ND,0,18-24
42870,smoking awareness,TN,Locals,Male,False,English,24.0,18,ND,160,18-24
42871,smoking awareness,AE,Locals,Male,False,English,24.0,18,ND,210,18-24
42872,smoking awareness,YE,Locals,Male,False,English,24.0,18,ND,0,18-24
42873,smoking awareness,PS,Locals,Male,False,English,24.0,18,ND,0,18-24
42874,smoking awareness,DZ,Locals,Male,False,European,24.0,18,ND,30,18-24
