,interest,country_code,citizenship,gender,is_denominator,language,max_age,min_age,scholarity,audience,age_range
121176,stroke heart disease,DZ,Locals,Male,False,Arabic,24.0,18,ND,20000,18-24
121178,stroke heart disease,EG,Locals,Male,False,Arabic,24.0,18,ND,31000,18-24
121179,stroke heart disease,IQ,Locals,Male,False,Arabic,24.0,18,ND,39000,18-24
121180,stroke heart disease,JO,Locals,Male,False,Arabic,24.0,18,ND,4900,18-24
121181,stroke heart disease,KW,Locals,Male,False,Arabic,24.0,18,ND,120,18-24
121182,stroke heart disease,LB,Locals,Male,False,Arabic,24.0,18,ND,2300,18-24
121183,stroke heart disease,LY,Locals,Male,False,Arabic,24.0,18,ND,4200,18-24
121184,stroke heart disease,MA,Locals,Male,False,Arabic,24.0,18,ND,4600,18-24
121185,stroke heart disease,OM,Locals,Male,False,Arabic,24.0,18,ND,280,18-24
121186,stroke heart disease,QA,Locals,Male,False,Arabic,24.0,18,ND,70,18-24
121187,stroke heart disease,SA,Locals,Male,False,Arabic,24.0,18,ND,24000,18-24
121188,stroke heart disease,SO,Locals,Male,False,Arabic,24.0,18,ND,130,18-24
121189,stroke heart disease,TN,Locals,Male,False,Arabic,24.0,18,ND,4400,18-24
121190,stroke heart disease,AE,Locals,Male,False,Arabic,24.0,18,ND,60,18-24
121191,stroke heart disease,YE,Locals,Male,False,Arabic,24.0,18,ND,14000,18-24
121192,stroke heart disease,PS,Locals,Male,False,Arabic,24.0,18,ND,590,18-24
121193,stroke heart disease,DZ,Locals,Male,False,English,24.0,18,ND,1800,18-24
121195,stroke heart disease,EG,Locals,Male,False,English,24.0,18,ND,5000,18-24
121196,stroke heart disease,IQ,Locals,Male,False,English,24.0,18,ND,3500,18-24
121197,stroke heart disease,JO,Locals,Male,False,English,24.0,18,ND,360,18-24
121198,stroke heart disease,KW,Locals,Male,False,English,24.0,18,ND,100,18-24
121199,stroke heart disease,LB,Locals,Male,False,English,24.0,18,ND,1400,18-24
121200,stroke heart disease,LY,Locals,Male,False,English,24.0,18,ND,480,18-24
121201,stroke heart disease,MA,Locals,Male,False,English,24.0,18,ND,540,18-24
121202,stroke heart disease,OM,Locals,Male,False,English,24.0,18,ND,90,18-24
121203,stroke heart disease,QA,Locals,Male,False,English,24.0,18,ND,230,18-24
121204,stroke heart disease,SA,Locals,Male,False,English,24.0,18,ND,45000,18-24
121205,stroke heart disease,SO,Locals,Male,False,English,24.0,18,ND,370,18-24
121206,stroke heart disease,TN,Locals,Male,False,English,24.0,18,ND,1100,18-24
121207,stroke heart disease,AE,Locals,Male,False,English,24.0,18,ND,270,18-24
121208,stroke heart disease,YE,Locals,Male,False,English,24.0,18,ND,770,18-24
121209,stroke heart disease,PS,Locals,Male,False,English,24.0,18,ND,0,18-24
121210,stroke heart disease,DZ,Locals,Male,False,European,24.0,18,ND,690,18-24
121212,stroke heart disease,EG,Locals,Male,False,European,24.0,18,ND,570,18-24
121213,stroke heart disease,IQ,Locals,Male,False,European,24.0,18,ND,270,18-24
121214,stroke heart disease,JO,Locals,Male,False,European,24.0,18,ND,0,18-24
121215,stroke heart disease,KW,Locals,Male,False,European,24.0,18,ND,0,18-24
121216,stroke heart disease,LB,Locals,Male,False,European,24.0,18,ND,50,18-24
121217,stroke heart disease,LY,Locals,Male,False,European,24.0,18,ND,50,18-24
121218,stroke heart disease,MA,Locals,Male,False,European,24.0,18,ND,280,18-24
121219,stroke heart disease,OM,Locals,Male,False,European,24.0,18,ND,0,18-24
121220,stroke heart disease,QA,Locals,Male,False,European,24.0,18,ND,0,18-24
121221,stroke heart disease,SA,Locals,Male,False,European,24.0,18,ND,1000,18-24
121222,stroke heart disease,SO,Locals,Male,False,European,24.0,18,ND,0,18-24
121223,stroke heart disease,TN,Locals,Male,False,European,24.0,18,ND,370,18-24
121224,stroke heart disease,AE,Locals,Male,False,European,24.0,18,ND,0,18-24
121225,stroke heart disease,YE,Locals,Male,False,European,24.0,18,ND,70,18-24
121226,stroke heart disease,PS,Locals,Male,False,European,24.0,18,ND,0,18-24
121227,stroke heart disease,DZ,Locals,Male,False,Indian,24.0,18,ND,40,18-24
121229,stroke heart disease,EG,Locals,Male,False,Indian,24.0,18,ND,60,18-24
121230,stroke heart disease,IQ,Locals,Male,False,Indian,24.0,18,ND,80,18-24
121231,stroke heart disease,JO,Locals,Male,False,Indian,24.0,18,ND,0,18-24
121232,stroke heart disease,KW,Locals,Male,False,Indian,24.0,18,ND,40,18-24
121233,stroke heart disease,LB,Locals,Male,False,Indian,24.0,18,ND,0,18-24
121234,stroke heart disease,LY,Locals,Male,False,Indian,24.0,18,ND,0,18-24
121235,stroke heart disease,MA,Locals,Male,False,Indian,24.0,18,ND,30,18-24
121236,stroke heart disease,OM,Locals,Male,False,Indian,24.0,18,ND,0,18-24
121237,stroke heart disease,QA,Locals,Male,False,Indian,24.0,18,ND,70,18-24
121238,stroke heart disease,SA,Locals,Male,False,Indian,24.0,18,ND,28000,18-24
121239,stroke heart disease,SO,Locals,Male,False,Indian,24.0,18,ND,0,18-24
121240,stroke heart disease,TN,Locals,Male,False,Indian,24.0,18,ND,0,18-24
121241,stroke heart disease,AE,Locals,Male,False,Indian,24.0,18,ND,90,18-24
121242,stroke heart disease,YE,Locals,Male,False,Indian,24.0,18,ND,0,18-24
121243,stroke heart disease,PS,Locals,Male,False,Indian,24.0,18,ND,0,18-24
121244,stroke heart disease,DZ,Locals,Male,False,English,24.0,18,ND,180,18-24
121246,stroke heart disease,EG,Locals,Male,False,English,24.0,18,ND,80,18-24
121247,stroke heart disease,IQ,Locals,Male,False,English,24.0,18,ND,230,18-24
121248,stroke heart disease,JO,Locals,Male,False,English,24.0,18,ND,0,18-24
121249,stroke heart disease,KW,Locals,Male,False,English,24.0,18,ND,30,18-24
121250,stroke heart disease,LB,Locals,Male,False,English,24.0,18,ND,40,18-24
