,age_range,gender,citizenship,scholarity,audience,topic,country_code
3060,18-24,Male,Expats,Graduated,6300,diabetes awareness,DZ
3061,25-44,Male,Expats,Graduated,7800,diabetes awareness,DZ
3062,45+,Male,Expats,Graduated,1700,diabetes awareness,DZ
3063,18-24,Female,Expats,Graduated,3200,diabetes awareness,DZ
3064,25-44,Female,Expats,Graduated,2900,diabetes awareness,DZ
3065,45+,Female,Expats,Graduated,810,diabetes awareness,DZ
3066,18-24,Male,Expats,No Degree,4300,diabetes awareness,DZ
3067,25-44,Male,Expats,No Degree,7400,diabetes awareness,DZ
3068,45+,Male,Expats,No Degree,2000,diabetes awareness,DZ
3069,18-24,Female,Expats,No Degree,2200,diabetes awareness,DZ
3070,25-44,Female,Expats,No Degree,3400,diabetes awareness,DZ
3071,45+,Female,Expats,No Degree,1100,diabetes awareness,DZ
3072,18-24,Male,Expats,High School,2300,diabetes awareness,DZ
3073,25-44,Male,Expats,High School,1900,diabetes awareness,DZ
3074,45+,Male,Expats,High School,500,diabetes awareness,DZ
3075,18-24,Female,Expats,High School,1200,diabetes awareness,DZ
3076,25-44,Female,Expats,High School,540,diabetes awareness,DZ
3077,45+,Female,Expats,High School,310,diabetes awareness,DZ
3078,18-24,Male,Locals,Graduated,30000,diabetes awareness,DZ
3079,25-44,Male,Locals,Graduated,60000,diabetes awareness,DZ
3080,45+,Male,Locals,Graduated,13000,diabetes awareness,DZ
3081,18-24,Female,Locals,Graduated,31000,diabetes awareness,DZ
3082,25-44,Female,Locals,Graduated,45000,diabetes awareness,DZ
3083,45+,Female,Locals,Graduated,7400,diabetes awareness,DZ
3084,18-24,Male,Locals,No Degree,40000,diabetes awareness,DZ
3085,25-44,Male,Locals,No Degree,86000,diabetes awareness,DZ
3086,45+,Male,Locals,No Degree,22000,diabetes awareness,DZ
3087,18-24,Female,Locals,No Degree,33000,diabetes awareness,DZ
3088,25-44,Female,Locals,No Degree,50000,diabetes awareness,DZ
3089,45+,Female,Locals,No Degree,13000,diabetes awareness,DZ
3090,18-24,Male,Locals,High School,13000,diabetes awareness,DZ
3091,25-44,Male,Locals,High School,17000,diabetes awareness,DZ
3092,45+,Male,Locals,High School,4600,diabetes awareness,DZ
3093,18-24,Female,Locals,High School,14000,diabetes awareness,DZ
3094,25-44,Female,Locals,High School,10000,diabetes awareness,DZ
3095,45+,Female,Locals,High School,3200,diabetes awareness,DZ
3096,18-24,Male,Expats,Graduated,630,diabetes awareness,BH
3097,25-44,Male,Expats,Graduated,2400,diabetes awareness,BH
3098,45+,Male,Expats,Graduated,700,diabetes awareness,BH
3099,18-24,Female,Expats,Graduated,120,diabetes awareness,BH
3100,25-44,Female,Expats,Graduated,1700,diabetes awareness,BH
3101,45+,Female,Expats,Graduated,1100,diabetes awareness,BH
3102,18-24,Male,Expats,No Degree,540,diabetes awareness,BH
3103,25-44,Male,Expats,No Degree,1300,diabetes awareness,BH
3104,45+,Male,Expats,No Degree,440,diabetes awareness,BH
3105,18-24,Female,Expats,No Degree,140,diabetes awareness,BH
3106,25-44,Female,Expats,No Degree,660,diabetes awareness,BH
3107,45+,Female,Expats,No Degree,740,diabetes awareness,BH
3108,18-24,Male,Expats,High School,150,diabetes awareness,BH
3109,25-44,Male,Expats,High School,520,diabetes awareness,BH
