,interest,country_code,citizenship,gender,is_denominator,language,max_age,min_age,scholarity,audience,age_range
306,health,DZ,Locals,Male,False,Arabic,24.0,18,ND,540000,18-24
308,health,EG,Locals,Male,False,Arabic,24.0,18,ND,880000,18-24
309,health,IQ,Locals,Male,False,Arabic,24.0,18,ND,710000,18-24
310,health,JO,Locals,Male,False,Arabic,24.0,18,ND,130000,18-24
311,health,KW,Locals,Male,False,Arabic,24.0,18,ND,6200,18-24
312,health,LB,Locals,Male,False,Arabic,24.0,18,ND,86000,18-24
313,health,LY,Locals,Male,False,Arabic,24.0,18,ND,66000,18-24
314,health,MA,Locals,Male,False,Arabic,24.0,18,ND,520000,18-24
315,health,OM,Locals,Male,False,Arabic,24.0,18,ND,10000,18-24
316,health,QA,Locals,Male,False,Arabic,24.0,18,ND,2600,18-24
317,health,SA,Locals,Male,False,Arabic,24.0,18,ND,360000,18-24
318,health,SO,Locals,Male,False,Arabic,24.0,18,ND,7000,18-24
319,health,TN,Locals,Male,False,Arabic,24.0,18,ND,160000,18-24
320,health,AE,Locals,Male,False,Arabic,24.0,18,ND,13000,18-24
321,health,YE,Locals,Male,False,Arabic,24.0,18,ND,60000,18-24
322,health,PS,Locals,Male,False,Arabic,24.0,18,ND,24000,18-24
323,health,DZ,Locals,Male,False,English,24.0,18,ND,46000,18-24
325,health,EG,Locals,Male,False,English,24.0,18,ND,130000,18-24
326,health,IQ,Locals,Male,False,English,24.0,18,ND,120000,18-24
327,health,JO,Locals,Male,False,English,24.0,18,ND,24000,18-24
328,health,KW,Locals,Male,False,English,24.0,18,ND,8600,18-24
329,health,LB,Locals,Male,False,English,24.0,18,ND,67000,18-24
330,health,LY,Locals,Male,False,English,24.0,18,ND,8300,18-24
331,health,MA,Locals,Male,False,English,24.0,18,ND,65000,18-24
332,health,OM,Locals,Male,False,English,24.0,18,ND,8900,18-24
333,health,QA,Locals,Male,False,English,24.0,18,ND,16000,18-24
334,health,SA,Locals,Male,False,English,24.0,18,ND,760000,18-24
335,health,SO,Locals,Male,False,English,24.0,18,ND,26000,18-24
336,health,TN,Locals,Male,False,English,24.0,18,ND,27000,18-24
337,health,AE,Locals,Male,False,English,24.0,18,ND,61000,18-24
338,health,YE,Locals,Male,False,English,24.0,18,ND,3700,18-24
339,health,PS,Locals,Male,False,English,24.0,18,ND,3600,18-24
340,health,DZ,Locals,Male,False,French,24.0,18,ND,370000,18-24
342,health,EG,Locals,Male,False,French,24.0,18,ND,10000,18-24
343,health,IQ,Locals,Male,False,French,24.0,18,ND,1800,18-24
344,health,JO,Locals,Male,False,French,24.0,18,ND,960,18-24
345,health,KW,Locals,Male,False,French,24.0,18,ND,50,18-24
346,health,LB,Locals,Male,False,French,24.0,18,ND,4100,18-24
347,health,LY,Locals,Male,False,French,24.0,18,ND,1100,18-24
348,health,MA,Locals,Male,False,French,24.0,18,ND,330000,18-24
349,health,OM,Locals,Male,False,French,24.0,18,ND,40,18-24
350,health,QA,Locals,Male,False,French,24.0,18,ND,190,18-24
351,health,SA,Locals,Male,False,French,24.0,18,ND,3100,18-24
352,health,SO,Locals,Male,False,French,24.0,18,ND,100,18-24
353,health,TN,Locals,Male,False,French,24.0,18,ND,160000,18-24
354,health,AE,Locals,Male,False,French,24.0,18,ND,540,18-24
355,health,YE,Locals,Male,False,French,24.0,18,ND,90,18-24
356,health,PS,Locals,Male,False,French,24.0,18,ND,200,18-24
357,health,DZ,Locals,Male,False,European,24.0,18,ND,19000,18-24
359,health,EG,Locals,Male,False,European,24.0,18,ND,13000,18-24
360,health,IQ,Locals,Male,False,European,24.0,18,ND,5900,18-24
361,health,JO,Locals,Male,False,European,24.0,18,ND,1300,18-24
362,health,KW,Locals,Male,False,European,24.0,18,ND,220,18-24
363,health,LB,Locals,Male,False,European,24.0,18,ND,1700,18-24
364,health,LY,Locals,Male,False,European,24.0,18,ND,700,18-24
365,health,MA,Locals,Male,False,European,24.0,18,ND,30000,18-24
366,health,OM,Locals,Male,False,European,24.0,18,ND,270,18-24
367,health,QA,Locals,Male,False,European,24.0,18,ND,350,18-24
368,health,SA,Locals,Male,False,European,24.0,18,ND,16000,18-24
369,health,SO,Locals,Male,False,European,24.0,18,ND,470,18-24
370,health,TN,Locals,Male,False,European,24.0,18,ND,9900,18-24
371,health,AE,Locals,Male,False,European,24.0,18,ND,1600,18-24
372,health,YE,Locals,Male,False,European,24.0,18,ND,430,18-24
373,health,PS,Locals,Male,False,European,24.0,18,ND,180,18-24
374,health,DZ,Locals,Male,False,Indian,24.0,18,ND,820,18-24
376,health,EG,Locals,Male,False,Indian,24.0,18,ND,1400,18-24
377,health,IQ,Locals,Male,False,Indian,24.0,18,ND,1900,18-24
378,health,JO,Locals,Male,False,Indian,24.0,18,ND,570,18-24
379,health,KW,Locals,Male,False,Indian,24.0,18,ND,2900,18-24
380,health,LB,Locals,Male,False,Indian,24.0,18,ND,540,18-24
381,health,LY,Locals,Male,False,Indian,24.0,18,ND,310,18-24
382,health,MA,Locals,Male,False,Indian,24.0,18,ND,1900,18-24
383,health,OM,Locals,Male,False,Indian,24.0,18,ND,4600,18-24
384,health,QA,Locals,Male,False,Indian,24.0,18,ND,9600,18-24
385,health,SA,Locals,Male,False,Indian,24.0,18,ND,470000,18-24
386,health,SO,Locals,Male,False,Indian,24.0,18,ND,140,18-24
387,health,TN,Locals,Male,False,Indian,24.0,18,ND,160,18-24
388,health,AE,Locals,Male,False,Indian,24.0,18,ND,31000,18-24
389,health,YE,Locals,Male,False,Indian,24.0,18,ND,180,18-24
390,health,PS,Locals,Male,False,Indian,24.0,18,ND,0,18-24
391,health,DZ,Locals,Male,False,English,24.0,18,ND,4800,18-24
393,health,EG,Locals,Male,False,English,24.0,18,ND,2800,18-24
394,health,IQ,Locals,Male,False,English,24.0,18,ND,3900,18-24
395,health,JO,Locals,Male,False,English,24.0,18,ND,510,18-24
396,health,KW,Locals,Male,False,English,24.0,18,ND,580,18-24
397,health,LB,Locals,Male,False,English,24.0,18,ND,830,18-24
398,health,LY,Locals,Male,False,English,24.0,18,ND,130,18-24
399,health,MA,Locals,Male,False,English,24.0,18,ND,7900,18-24
400,health,OM,Locals,Male,False,English,24.0,18,ND,760,18-24
401,health,QA,Locals,Male,False,English,24.0,18,ND,1500,18-24
402,health,SA,Locals,Male,False,English,24.0,18,ND,85000,18-24
403,health,SO,Locals,Male,False,English,24.0,18,ND,3500,18-24
404,health,TN,Locals,Male,False,English,24.0,18,ND,2900,18-24
405,health,AE,Locals,Male,False,English,24.0,18,ND,6800,18-24
406,health,YE,Locals,Male,False,English,24.0,18,ND,180,18-24
407,health,PS,Locals,Male,False,English,24.0,18,ND,40,18-24
408,health,DZ,Locals,Male,False,Arabic,24.0,18,HS,220000,18-24
410,health,EG,Locals,Male,False,Arabic,24.0,18,HS,820000,18-24
411,health,IQ,Locals,Male,False,Arabic,24.0,18,HS,320000,18-24
412,health,JO,Locals,Male,False,Arabic,24.0,18,HS,110000,18-24
413,health,KW,Locals,Male,False,Arabic,24.0,18,HS,1300,18-24
414,health,LB,Locals,Male,False,Arabic,24.0,18,HS,45000,18-24
415,health,LY,Locals,Male,False,Arabic,24.0,18,HS,44000,18-24
416,health,MA,Locals,Male,False,Arabic,24.0,18,HS,270000,18-24
417,health,OM,Locals,Male,False,Arabic,24.0,18,HS,4800,18-24
418,health,QA,Locals,Male,False,Arabic,24.0,18,HS,900,18-24
419,health,SA,Locals,Male,False,Arabic,24.0,18,HS,69000,18-24
420,health,SO,Locals,Male,False,Arabic,24.0,18,HS,4100,18-24
421,health,TN,Locals,Male,False,Arabic,24.0,18,HS,98000,18-24
422,health,AE,Locals,Male,False,Arabic,24.0,18,HS,4700,18-24
423,health,YE,Locals,Male,False,Arabic,24.0,18,HS,39000,18-24
424,health,PS,Locals,Male,False,Arabic,24.0,18,HS,30000,18-24
