,age_range,gender,citizenship,scholarity,audience,topic,country_code
8568,18-24,Male,Expats,Graduated,100000,health,DZ
8569,25-44,Male,Expats,Graduated,100000,health,DZ
8570,45+,Male,Expats,Graduated,14000,health,DZ
8571,18-24,Female,Expats,Graduated,33000,health,DZ
8572,25-44,Female,Expats,Graduated,28000,health,DZ
8573,45+,Female,Expats,Graduated,5300,health,DZ
8574,18-24,Male,Expats,No Degree,48000,health,DZ
8575,25-44,Male,Expats,No Degree,71000,health,DZ
8576,45+,Male,Expats,No Degree,14000,health,DZ
8577,18-24,Female,Expats,No Degree,21000,health,DZ
8578,25-44,Female,Expats,No Degree,27000,health,DZ
8579,45+,Female,Expats,No Degree,6500,health,DZ
8580,18-24,Male,Expats,High School,38000,health,DZ
8581,25-44,Male,Expats,High School,23000,health,DZ
8582,45+,Male,Expats,High School,4500,health,DZ
8583,18-24,Female,Expats,High School,14000,health,DZ
8584,25-44,Female,Expats,High School,6800,health,DZ
8585,45+,Female,Expats,High School,2200,health,DZ
8586,18-24,Male,Locals,Graduated,470000,health,DZ
8587,25-44,Male,Locals,Graduated,710000,health,DZ
8588,45+,Male,Locals,Graduated,84000,health,DZ
8589,18-24,Female,Locals,Graduated,330000,health,DZ
8590,25-44,Female,Locals,Graduated,390000,health,DZ
8591,45+,Female,Locals,Graduated,39000,health,DZ
8592,18-24,Male,Locals,No Degree,560000,health,DZ
8593,25-44,Male,Locals,No Degree,860000,health,DZ
8594,45+,Male,Locals,No Degree,140000,health,DZ
8595,18-24,Female,Locals,No Degree,420000,health,DZ
8596,25-44,Female,Locals,No Degree,470000,health,DZ
8597,45+,Female,Locals,No Degree,79000,health,DZ
8598,18-24,Male,Locals,High School,220000,health,DZ
8599,25-44,Male,Locals,High School,200000,health,DZ
8600,45+,Male,Locals,High School,32000,health,DZ
8601,18-24,Female,Locals,High School,160000,health,DZ
8602,25-44,Female,Locals,High School,92000,health,DZ
8603,45+,Female,Locals,High School,17000,health,DZ
8604,18-24,Male,Expats,Graduated,14000,health,BH
8605,25-44,Male,Expats,Graduated,73000,health,BH
8606,45+,Male,Expats,Graduated,9800,health,BH
8607,18-24,Female,Expats,Graduated,3700,health,BH
8608,25-44,Female,Expats,Graduated,33000,health,BH
8609,45+,Female,Expats,Graduated,6200,health,BH
8610,18-24,Male,Expats,No Degree,16000,health,BH
8611,25-44,Male,Expats,No Degree,56000,health,BH
8612,45+,Male,Expats,No Degree,9400,health,BH
8613,18-24,Female,Expats,No Degree,3900,health,BH
8614,25-44,Female,Expats,No Degree,18000,health,BH
8615,45+,Female,Expats,No Degree,4500,health,BH
8616,18-24,Male,Expats,High School,6100,health,BH
8617,25-44,Male,Expats,High School,19000,health,BH
8618,45+,Male,Expats,High School,3400,health,BH
8619,18-24,Female,Expats,High School,2700,health,BH
8620,25-44,Female,Expats,High School,9400,health,BH
8621,45+,Female,Expats,High School,2200,health,BH
8622,18-24,Male,Locals,Graduated,6200,health,BH
8623,25-44,Male,Locals,Graduated,17000,health,BH
8624,45+,Male,Locals,Graduated,2400,health,BH
8625,18-24,Female,Locals,Graduated,3200,health,BH
8626,25-44,Female,Locals,Graduated,11000,health,BH
8627,45+,Female,Locals,Graduated,1200,health,BH
8628,18-24,Male,Locals,No Degree,9400,health,BH
8629,25-44,Male,Locals,No Degree,18000,health,BH
8630,45+,Male,Locals,No Degree,3900,health,BH
8631,18-24,Female,Locals,No Degree,4500,health,BH
8632,25-44,Female,Locals,No Degree,10000,health,BH
8633,45+,Female,Locals,No Degree,1800,health,BH
8634,18-24,Male,Locals,High School,3400,health,BH
8635,25-44,Male,Locals,High School,4800,health,BH
8636,45+,Male,Locals,High School,720,health,BH
8637,18-24,Female,Locals,High School,2700,health,BH
8638,25-44,Female,Locals,High School,2900,health,BH
8639,45+,Female,Locals,High School,370,health,BH
8640,18-24,Male,Expats,Graduated,67000,health,EG
8641,25-44,Male,Expats,Graduated,140000,health,EG
8642,45+,Male,Expats,Graduated,25000,health,EG
8643,18-24,Female,Expats,Graduated,32000,health,EG
8644,25-44,Female,Expats,Graduated,66000,health,EG
8645,45+,Female,Expats,Graduated,12000,health,EG
8646,18-24,Male,Expats,No Degree,25000,health,EG
8647,25-44,Male,Expats,No Degree,47000,health,EG
8648,45+,Male,Expats,No Degree,13000,health,EG
8649,18-24,Female,Expats,No Degree,15000,health,EG
8650,25-44,Female,Expats,No Degree,27000,health,EG
8651,45+,Female,Expats,No Degree,11000,health,EG
8652,18-24,Male,Expats,High School,40000,health,EG
8653,25-44,Male,Expats,High School,30000,health,EG
8654,45+,Male,Expats,High School,5600,health,EG
8655,18-24,Female,Expats,High School,27000,health,EG
8656,25-44,Female,Expats,High School,15000,health,EG
8657,45+,Female,Expats,High School,3400,health,EG
8658,18-24,Male,Locals,Graduated,1300000,health,EG
8659,25-44,Male,Locals,Graduated,2200000,health,EG
8660,45+,Male,Locals,Graduated,350000,health,EG
8661,18-24,Female,Locals,Graduated,960000,health,EG
8662,25-44,Female,Locals,Graduated,1500000,health,EG
8663,45+,Female,Locals,Graduated,210000,health,EG
8664,18-24,Male,Locals,No Degree,750000,health,EG
8665,25-44,Male,Locals,No Degree,1200000,health,EG
8666,45+,Male,Locals,No Degree,410000,health,EG
8667,18-24,Female,Locals,No Degree,590000,health,EG
8668,25-44,Female,Locals,No Degree,920000,health,EG
8669,45+,Female,Locals,No Degree,340000,health,EG
8670,18-24,Male,Locals,High School,790000,health,EG
8671,25-44,Male,Locals,High School,470000,health,EG
8672,45+,Male,Locals,High School,92000,health,EG
8673,18-24,Female,Locals,High School,700000,health,EG
8674,25-44,Female,Locals,High School,280000,health,EG
8675,45+,Female,Locals,High School,50000,health,EG
8676,18-24,Male,Expats,Graduated,48000,health,IQ
8677,25-44,Male,Expats,Graduated,100000,health,IQ
