,age_range,gender,citizenship,scholarity,audience,topic,country_code
1224,18-24,Male,Expats,Graduated,11000,health care,DZ
1225,25-44,Male,Expats,Graduated,14000,health care,DZ
1226,45+,Male,Expats,Graduated,2100,health care,DZ
1227,18-24,Female,Expats,Graduated,5900,health care,DZ
1228,25-44,Female,Expats,Graduated,5400,health care,DZ
1229,45+,Female,Expats,Graduated,1000,health care,DZ
1230,18-24,Male,Expats,No Degree,6400,health care,DZ
1231,25-44,Male,Expats,No Degree,12000,health care,DZ
1232,45+,Male,Expats,No Degree,2600,health care,DZ
1233,18-24,Female,Expats,No Degree,3500,health care,DZ
1234,25-44,Female,Expats,No Degree,5400,health care,DZ
1235,45+,Female,Expats,No Degree,1300,health care,DZ
1236,18-24,Male,Expats,High School,4000,health care,DZ
1237,25-44,Male,Expats,High School,3400,health care,DZ
1238,45+,Male,Expats,High School,640,health care,DZ
1239,18-24,Female,Expats,High School,2500,health care,DZ
1240,25-44,Female,Expats,High School,1300,health care,DZ
1241,45+,Female,Expats,High School,440,health care,DZ
1242,18-24,Male,Locals,Graduated,49000,health care,DZ
1243,25-44,Male,Locals,Graduated,99000,health care,DZ
1244,45+,Male,Locals,Graduated,14000,health care,DZ
1245,18-24,Female,Locals,Graduated,58000,health care,DZ
1246,25-44,Female,Locals,Graduated,82000,health care,DZ
1247,45+,Female,Locals,Graduated,8800,health care,DZ
1248,18-24,Male,Locals,No Degree,53000,health care,DZ
1249,25-44,Male,Locals,No Degree,120000,health care,DZ
1250,45+,Male,Locals,No Degree,22000,health care,DZ
1251,18-24,Female,Locals,No Degree,57000,health care,DZ
1252,25-44,Female,Locals,No Degree,82000,health care,DZ
1253,45+,Female,Locals,No Degree,15000,health care,DZ
1254,18-24,Male,Locals,High School,22000,health care,DZ
1255,25-44,Male,Locals,High School,27000,health care,DZ
1256,45+,Male,Locals,High School,4900,health care,DZ
1257,18-24,Female,Locals,High School,27000,health care,DZ
1258,25-44,Female,Locals,High School,18000,health care,DZ
1259,45+,Female,Locals,High School,3900,health care,DZ
1260,18-24,Male,Expats,Graduated,6500,health care,BH
1261,25-44,Male,Expats,Graduated,30000,health care,BH
1262,45+,Male,Expats,Graduated,4300,health care,BH
1263,18-24,Female,Expats,Graduated,1600,health care,BH
1264,25-44,Female,Expats,Graduated,14000,health care,BH
1265,45+,Female,Expats,Graduated,2700,health care,BH
1266,18-24,Male,Expats,No Degree,7800,health care,BH
1267,25-44,Male,Expats,No Degree,26000,health care,BH
1268,45+,Male,Expats,No Degree,4900,health care,BH
1269,18-24,Female,Expats,No Degree,2100,health care,BH
1270,25-44,Female,Expats,No Degree,7300,health care,BH
1271,45+,Female,Expats,No Degree,1600,health care,BH
1272,18-24,Male,Expats,High School,2500,health care,BH
1273,25-44,Male,Expats,High School,8300,health care,BH
1274,45+,Male,Expats,High School,1500,health care,BH
1275,18-24,Female,Expats,High School,950,health care,BH
1276,25-44,Female,Expats,High School,4200,health care,BH
1277,45+,Female,Expats,High School,920,health care,BH
1278,18-24,Male,Locals,Graduated,840,health care,BH
1279,25-44,Male,Locals,Graduated,2800,health care,BH
1280,45+,Male,Locals,Graduated,650,health care,BH
1281,18-24,Female,Locals,Graduated,490,health care,BH
1282,25-44,Female,Locals,Graduated,2300,health care,BH
1283,45+,Female,Locals,Graduated,220,health care,BH
1284,18-24,Male,Locals,No Degree,1000,health care,BH
1285,25-44,Male,Locals,No Degree,2200,health care,BH
1286,45+,Male,Locals,No Degree,900,health care,BH
1287,18-24,Female,Locals,No Degree,760,health care,BH
1288,25-44,Female,Locals,No Degree,1700,health care,BH
1289,45+,Female,Locals,No Degree,360,health care,BH
1290,18-24,Male,Locals,High School,530,health care,BH
1291,25-44,Male,Locals,High School,840,health care,BH
1292,45+,Male,Locals,High School,180,health care,BH
1293,18-24,Female,Locals,High School,550,health care,BH
1294,25-44,Female,Locals,High School,350,health care,BH
1295,45+,Female,Locals,High School,80,health care,BH
1296,18-24,Male,Expats,Graduated,11000,health care,EG
1297,25-44,Male,Expats,Graduated,27000,health care,EG
1298,45+,Male,Expats,Graduated,5500,health care,EG
1299,18-24,Female,Expats,Graduated,9200,health care,EG
1300,25-44,Female,Expats,Graduated,19000,health care,EG
1301,45+,Female,Expats,Graduated,2900,health care,EG
1302,18-24,Male,Expats,No Degree,3700,health care,EG
1303,25-44,Male,Expats,No Degree,9000,health care,EG
1304,45+,Male,Expats,No Degree,3200,health care,EG
1305,18-24,Female,Expats,No Degree,2700,health care,EG
1306,25-44,Female,Expats,No Degree,6000,health care,EG
1307,45+,Female,Expats,No Degree,2300,health care,EG
1308,18-24,Male,Expats,High School,7300,health care,EG
1309,25-44,Male,Expats,High School,6000,health care,EG
1310,45+,Male,Expats,High School,1100,health care,EG
1311,18-24,Female,Expats,High School,7000,health care,EG
1312,25-44,Female,Expats,High School,4300,health care,EG
1313,45+,Female,Expats,High School,860,health care,EG
1314,18-24,Male,Locals,Graduated,220000,health care,EG
1315,25-44,Male,Locals,Graduated,570000,health care,EG
1316,45+,Male,Locals,Graduated,100000,health care,EG
1317,18-24,Female,Locals,Graduated,300000,health care,EG
1318,25-44,Female,Locals,Graduated,550000,health care,EG
1319,45+,Female,Locals,Graduated,74000,health care,EG
1320,18-24,Male,Locals,No Degree,100000,health care,EG
1321,25-44,Male,Locals,No Degree,250000,health care,EG
1322,45+,Male,Locals,No Degree,94000,health care,EG
1323,18-24,Female,Locals,No Degree,110000,health care,EG
1324,25-44,Female,Locals,No Degree,220000,health care,EG
1325,45+,Female,Locals,No Degree,89000,health care,EG
1326,18-24,Male,Locals,High School,140000,health care,EG
1327,25-44,Male,Locals,High School,110000,health care,EG
1328,45+,Male,Locals,High School,24000,health care,EG
1329,18-24,Female,Locals,High School,200000,health care,EG
1330,25-44,Female,Locals,High School,89000,health care,EG
1331,45+,Female,Locals,High School,15000,health care,EG
