,Unnamed: 0.1,ages_ranges,genders,behavior,scholarities,audience,timestamp,topic,location
4284,4284,18-24,1.0,Expats,Graduated,58000,1485867205.82,cars vehicles,DZ
4285,4285,25-44,1.0,Expats,Graduated,42000,1485867205.82,cars vehicles,DZ
4286,4286,45+,1.0,Expats,Graduated,4100,1485867205.82,cars vehicles,DZ
4287,4287,18-24,2.0,Expats,Graduated,9100,1485867205.82,cars vehicles,DZ
4288,4288,25-44,2.0,Expats,Graduated,4600,1485867205.82,cars vehicles,DZ
4289,4289,45+,2.0,Expats,Graduated,600,1485867205.82,cars vehicles,DZ
4290,4290,18-24,1.0,Expats,No Degree,24000,1485867205.82,cars vehicles,DZ
4291,4291,25-44,1.0,Expats,No Degree,22000,1485867205.82,cars vehicles,DZ
4292,4292,45+,1.0,Expats,No Degree,2500,1485867205.82,cars vehicles,DZ
4293,4293,18-24,2.0,Expats,No Degree,4500,1485867205.82,cars vehicles,DZ
4294,4294,25-44,2.0,Expats,No Degree,3400,1485867205.82,cars vehicles,DZ
4295,4295,45+,2.0,Expats,No Degree,670,1485867205.82,cars vehicles,DZ
4296,4296,18-24,1.0,Expats,High School,22000,1485867205.82,cars vehicles,DZ
4297,4297,25-44,1.0,Expats,High School,9300,1485867205.82,cars vehicles,DZ
4298,4298,45+,1.0,Expats,High School,1100,1485867205.82,cars vehicles,DZ
4299,4299,18-24,2.0,Expats,High School,3800,1485867205.82,cars vehicles,DZ
4300,4300,25-44,2.0,Expats,High School,1200,1485867205.82,cars vehicles,DZ
4301,4301,45+,2.0,Expats,High School,200,1485867205.82,cars vehicles,DZ
4302,4302,18-24,1.0,Locals,Graduated,230000,1485867205.82,cars vehicles,DZ
4303,4303,25-44,1.0,Locals,Graduated,260000,1485867205.82,cars vehicles,DZ
4304,4304,45+,1.0,Locals,Graduated,17000,1485867205.82,cars vehicles,DZ
4305,4305,18-24,2.0,Locals,Graduated,60000,1485867205.82,cars vehicles,DZ
4306,4306,25-44,2.0,Locals,Graduated,54000,1485867205.82,cars vehicles,DZ
