,Unnamed: 0.1,ages_ranges,genders,behavior,scholarities,audience,timestamp,topic,location
6732,6732,18-24,1.0,Expats,Graduated,14000,1485867205.82,mental disease depression,DZ
6733,6733,25-44,1.0,Expats,Graduated,14000,1485867205.82,mental disease depression,DZ
6734,6734,45+,1.0,Expats,Graduated,1900,1485867205.82,mental disease depression,DZ
6735,6735,18-24,2.0,Expats,Graduated,5900,1485867205.82,mental disease depression,DZ
6736,6736,25-44,2.0,Expats,Graduated,4000,1485867205.82,mental disease depression,DZ
6737,6737,45+,2.0,Expats,Graduated,800,1485867205.82,mental disease depression,DZ
6738,6738,18-24,1.0,Expats,No Degree,7100,1485867205.82,mental disease depression,DZ
6739,6739,25-44,1.0,Expats,No Degree,12000,1485867205.82,mental disease depression,DZ
6740,6740,45+,1.0,Expats,No Degree,2100,1485867205.82,mental disease depression,DZ
6741,6741,18-24,2.0,Expats,No Degree,4100,1485867205.82,mental disease depression,DZ
6742,6742,25-44,2.0,Expats,No Degree,4800,1485867205.82,mental disease depression,DZ
6743,6743,45+,2.0,Expats,No Degree,1200,1485867205.82,mental disease depression,DZ
6744,6744,18-24,1.0,Expats,High School,5100,1485867205.82,mental disease depression,DZ
6745,6745,25-44,1.0,Expats,High School,3500,1485867205.82,mental disease depression,DZ
6746,6746,45+,1.0,Expats,High School,570,1485867205.82,mental disease depression,DZ
6747,6747,18-24,2.0,Expats,High School,2700,1485867205.82,mental disease depression,DZ
6748,6748,25-44,2.0,Expats,High School,1200,1485867205.82,mental disease depression,DZ
6749,6749,45+,2.0,Expats,High School,360,1485867205.82,mental disease depression,DZ
6750,6750,18-24,1.0,Locals,Graduated,62000,1485867205.82,mental disease depression,DZ
6751,6751,25-44,1.0,Locals,Graduated,100000,1485867205.82,mental disease depression,DZ
6752,6752,45+,1.0,Locals,Graduated,11000,1485867205.82,mental disease depression,DZ
6753,6753,18-24,2.0,Locals,Graduated,51000,1485867205.82,mental disease depression,DZ
6754,6754,25-44,2.0,Locals,Graduated,61000,1485867205.82,mental disease depression,DZ
6755,6755,45+,2.0,Locals,Graduated,5900,1485867205.82,mental disease depression,DZ
6756,6756,18-24,1.0,Locals,No Degree,64000,1485867205.82,mental disease depression,DZ
6757,6757,25-44,1.0,Locals,No Degree,130000,1485867205.82,mental disease depression,DZ
6758,6758,45+,1.0,Locals,No Degree,18000,1485867205.82,mental disease depression,DZ
6759,6759,18-24,2.0,Locals,No Degree,53000,1485867205.82,mental disease depression,DZ
6760,6760,25-44,2.0,Locals,No Degree,72000,1485867205.82,mental disease depression,DZ
6761,6761,45+,2.0,Locals,No Degree,11000,1485867205.82,mental disease depression,DZ
6762,6762,18-24,1.0,Locals,High School,29000,1485867205.82,mental disease depression,DZ
6763,6763,25-44,1.0,Locals,High School,30000,1485867205.82,mental disease depression,DZ
6764,6764,45+,1.0,Locals,High School,4100,1485867205.82,mental disease depression,DZ
6765,6765,18-24,2.0,Locals,High School,25000,1485867205.82,mental disease depression,DZ
6766,6766,25-44,2.0,Locals,High School,15000,1485867205.82,mental disease depression,DZ
6767,6767,45+,2.0,Locals,High School,2900,1485867205.82,mental disease depression,DZ
6768,6768,18-24,1.0,Expats,Graduated,640,1485867205.82,mental disease depression,BH
6769,6769,25-44,1.0,Expats,Graduated,1900,1485867205.82,mental disease depression,BH
6770,6770,45+,1.0,Expats,Graduated,380,1485867205.82,mental disease depression,BH
6771,6771,18-24,2.0,Expats,Graduated,470,1485867205.82,mental disease depression,BH
6772,6772,25-44,2.0,Expats,Graduated,2900,1485867205.82,mental disease depression,BH
6773,6773,45+,2.0,Expats,Graduated,540,1485867205.82,mental disease depression,BH
6774,6774,18-24,1.0,Expats,No Degree,690,1485867205.82,mental disease depression,BH
6775,6775,25-44,1.0,Expats,No Degree,1400,1485867205.82,mental disease depression,BH
6776,6776,45+,1.0,Expats,No Degree,450,1485867205.82,mental disease depression,BH
6777,6777,18-24,2.0,Expats,No Degree,320,1485867205.82,mental disease depression,BH
6778,6778,25-44,2.0,Expats,No Degree,940,1485867205.82,mental disease depression,BH
6779,6779,45+,2.0,Expats,No Degree,220,1485867205.82,mental disease depression,BH
6780,6780,18-24,1.0,Expats,High School,350,1485867205.82,mental disease depression,BH
6781,6781,25-44,1.0,Expats,High School,600,1485867205.82,mental disease depression,BH
6782,6782,45+,1.0,Expats,High School,120,1485867205.82,mental disease depression,BH
6783,6783,18-24,2.0,Expats,High School,260,1485867205.82,mental disease depression,BH
6784,6784,25-44,2.0,Expats,High School,840,1485867205.82,mental disease depression,BH
6785,6785,45+,2.0,Expats,High School,120,1485867205.82,mental disease depression,BH
6786,6786,18-24,1.0,Locals,Graduated,130,1485867205.82,mental disease depression,BH
6787,6787,25-44,1.0,Locals,Graduated,250,1485867205.82,mental disease depression,BH
6788,6788,45+,1.0,Locals,Graduated,30,1485867205.82,mental disease depression,BH
6789,6789,18-24,2.0,Locals,Graduated,180,1485867205.82,mental disease depression,BH
6790,6790,25-44,2.0,Locals,Graduated,570,1485867205.82,mental disease depression,BH
6791,6791,45+,2.0,Locals,Graduated,90,1485867205.82,mental disease depression,BH
6792,6792,18-24,1.0,Locals,No Degree,80,1485867205.82,mental disease depression,BH
6793,6793,25-44,1.0,Locals,No Degree,140,1485867205.82,mental disease depression,BH
6794,6794,45+,1.0,Locals,No Degree,40,1485867205.82,mental disease depression,BH
6795,6795,18-24,2.0,Locals,No Degree,170,1485867205.82,mental disease depression,BH
6796,6796,25-44,2.0,Locals,No Degree,430,1485867205.82,mental disease depression,BH
6797,6797,45+,2.0,Locals,No Degree,60,1485867205.82,mental disease depression,BH
6798,6798,18-24,1.0,Locals,High School,70,1485867205.82,mental disease depression,BH
6799,6799,25-44,1.0,Locals,High School,80,1485867205.82,mental disease depression,BH
6800,6800,45+,1.0,Locals,High School,20,1485867205.82,mental disease depression,BH
6801,6801,18-24,2.0,Locals,High School,130,1485867205.82,mental disease depression,BH
6802,6802,25-44,2.0,Locals,High School,110,1485867205.82,mental disease depression,BH
6803,6803,45+,2.0,Locals,High School,20,1485867205.82,mental disease depression,BH
6804,6804,18-24,1.0,Expats,Graduated,10000,1485867205.82,mental disease depression,EG
6805,6805,25-44,1.0,Expats,Graduated,16000,1485867205.82,mental disease depression,EG
6806,6806,45+,1.0,Expats,Graduated,4200,1485867205.82,mental disease depression,EG
6807,6807,18-24,2.0,Expats,Graduated,6200,1485867205.82,mental disease depression,EG
6808,6808,25-44,2.0,Expats,Graduated,11000,1485867205.82,mental disease depression,EG
6809,6809,45+,2.0,Expats,Graduated,1900,1485867205.82,mental disease depression,EG
6810,6810,18-24,1.0,Expats,No Degree,4500,1485867205.82,mental disease depression,EG
6811,6811,25-44,1.0,Expats,No Degree,7100,1485867205.82,mental disease depression,EG
6812,6812,45+,1.0,Expats,No Degree,2800,1485867205.82,mental disease depression,EG
6813,6813,18-24,2.0,Expats,No Degree,2800,1485867205.82,mental disease depression,EG
6814,6814,25-44,2.0,Expats,No Degree,4000,1485867205.82,mental disease depression,EG
6815,6815,45+,2.0,Expats,No Degree,1700,1485867205.82,mental disease depression,EG
6816,6816,18-24,1.0,Expats,High School,6600,1485867205.82,mental disease depression,EG
6817,6817,25-44,1.0,Expats,High School,3600,1485867205.82,mental disease depression,EG
6818,6818,45+,1.0,Expats,High School,970,1485867205.82,mental disease depression,EG
6819,6819,18-24,2.0,Expats,High School,5800,1485867205.82,mental disease depression,EG
6820,6820,25-44,2.0,Expats,High School,2500,1485867205.82,mental disease depression,EG
6821,6821,45+,2.0,Expats,High School,540,1485867205.82,mental disease depression,EG
6822,6822,18-24,1.0,Locals,Graduated,190000,1485867205.82,mental disease depression,EG
6823,6823,25-44,1.0,Locals,Graduated,320000,1485867205.82,mental disease depression,EG
6824,6824,45+,1.0,Locals,Graduated,82000,1485867205.82,mental disease depression,EG
6825,6825,18-24,2.0,Locals,Graduated,210000,1485867205.82,mental disease depression,EG
6826,6826,25-44,2.0,Locals,Graduated,300000,1485867205.82,mental disease depression,EG
6827,6827,45+,2.0,Locals,Graduated,42000,1485867205.82,mental disease depression,EG
6828,6828,18-24,1.0,Locals,No Degree,96000,1485867205.82,mental disease depression,EG
6829,6829,25-44,1.0,Locals,No Degree,180000,1485867205.82,mental disease depression,EG
6830,6830,45+,1.0,Locals,No Degree,88000,1485867205.82,mental disease depression,EG
6831,6831,18-24,2.0,Locals,No Degree,95000,1485867205.82,mental disease depression,EG
6832,6832,25-44,2.0,Locals,No Degree,130000,1485867205.82,mental disease depression,EG
6833,6833,45+,2.0,Locals,No Degree,60000,1485867205.82,mental disease depression,EG
6834,6834,18-24,1.0,Locals,High School,130000,1485867205.82,mental disease depression,EG
6835,6835,25-44,1.0,Locals,High School,69000,1485867205.82,mental disease depression,EG
6836,6836,45+,1.0,Locals,High School,21000,1485867205.82,mental disease depression,EG
6837,6837,18-24,2.0,Locals,High School,180000,1485867205.82,mental disease depression,EG
6838,6838,25-44,2.0,Locals,High School,50000,1485867205.82,mental disease depression,EG
6839,6839,45+,2.0,Locals,High School,9400,1485867205.82,mental disease depression,EG
6840,6840,18-24,1.0,Expats,Graduated,8700,1485867205.82,mental disease depression,IQ
6841,6841,25-44,1.0,Expats,Graduated,14000,1485867205.82,mental disease depression,IQ
6842,6842,45+,1.0,Expats,Graduated,2400,1485867205.82,mental disease depression,IQ
6843,6843,18-24,2.0,Expats,Graduated,630,1485867205.82,mental disease depression,IQ
6844,6844,25-44,2.0,Expats,Graduated,1400,1485867205.82,mental disease depression,IQ
6845,6845,45+,2.0,Expats,Graduated,260,1485867205.82,mental disease depression,IQ
6846,6846,18-24,1.0,Expats,No Degree,8500,1485867205.82,mental disease depression,IQ
