,age_range,gender,citizenship,scholarity,audience,topic,country_code
0,18-24,Male,Expats,Graduated,200000,NOTSELECTED,DZ
1,25-44,Male,Expats,Graduated,230000,NOTSELECTED,DZ
2,45+,Male,Expats,Graduated,32000,NOTSELECTED,DZ
3,18-24,Female,Expats,Graduated,91000,NOTSELECTED,DZ
4,25-44,Female,Expats,Graduated,60000,NOTSELECTED,DZ
5,45+,Female,Expats,Graduated,8800,NOTSELECTED,DZ
6,18-24,Male,Expats,No Degree,200000,NOTSELECTED,DZ
7,25-44,Male,Expats,No Degree,340000,NOTSELECTED,DZ
8,45+,Male,Expats,No Degree,59000,NOTSELECTED,DZ
9,18-24,Female,Expats,No Degree,130000,NOTSELECTED,DZ
10,25-44,Female,Expats,No Degree,110000,NOTSELECTED,DZ
11,45+,Female,Expats,No Degree,17000,NOTSELECTED,DZ
12,18-24,Male,Expats,High School,75000,NOTSELECTED,DZ
13,25-44,Male,Expats,High School,56000,NOTSELECTED,DZ
14,45+,Male,Expats,High School,11000,NOTSELECTED,DZ
15,18-24,Female,Expats,High School,36000,NOTSELECTED,DZ
16,25-44,Female,Expats,High School,17000,NOTSELECTED,DZ
17,45+,Female,Expats,High School,3600,NOTSELECTED,DZ
18,18-24,Male,Locals,Graduated,940000,NOTSELECTED,DZ
19,25-44,Male,Locals,Graduated,1400000,NOTSELECTED,DZ
20,45+,Male,Locals,Graduated,180000,NOTSELECTED,DZ
21,18-24,Female,Locals,Graduated,690000,NOTSELECTED,DZ
22,25-44,Female,Locals,Graduated,640000,NOTSELECTED,DZ
23,45+,Female,Locals,Graduated,60000,NOTSELECTED,DZ
24,18-24,Male,Locals,No Degree,2000000,NOTSELECTED,DZ
25,25-44,Male,Locals,No Degree,2800000,NOTSELECTED,DZ
26,45+,Male,Locals,No Degree,490000,NOTSELECTED,DZ
27,18-24,Female,Locals,No Degree,1600000,NOTSELECTED,DZ
28,25-44,Female,Locals,No Degree,1300000,NOTSELECTED,DZ
29,45+,Female,Locals,No Degree,190000,NOTSELECTED,DZ
30,18-24,Male,Locals,High School,440000,NOTSELECTED,DZ
31,25-44,Male,Locals,High School,420000,NOTSELECTED,DZ
32,45+,Male,Locals,High School,69000,NOTSELECTED,DZ
33,18-24,Female,Locals,High School,360000,NOTSELECTED,DZ
34,25-44,Female,Locals,High School,160000,NOTSELECTED,DZ
35,45+,Female,Locals,High School,26000,NOTSELECTED,DZ
36,18-24,Male,Expats,Graduated,29000,NOTSELECTED,BH
37,25-44,Male,Expats,Graduated,150000,NOTSELECTED,BH
38,45+,Male,Expats,Graduated,23000,NOTSELECTED,BH
39,18-24,Female,Expats,Graduated,8700,NOTSELECTED,BH
40,25-44,Female,Expats,Graduated,51000,NOTSELECTED,BH
41,45+,Female,Expats,Graduated,9200,NOTSELECTED,BH
42,18-24,Male,Expats,No Degree,66000,NOTSELECTED,BH
43,25-44,Male,Expats,No Degree,180000,NOTSELECTED,BH
44,45+,Male,Expats,No Degree,34000,NOTSELECTED,BH
45,18-24,Female,Expats,No Degree,20000,NOTSELECTED,BH
46,25-44,Female,Expats,No Degree,46000,NOTSELECTED,BH
47,45+,Female,Expats,No Degree,11000,NOTSELECTED,BH
48,18-24,Male,Expats,High School,14000,NOTSELECTED,BH
49,25-44,Male,Expats,High School,41000,NOTSELECTED,BH
50,45+,Male,Expats,High School,7500,NOTSELECTED,BH
51,18-24,Female,Expats,High School,5800,NOTSELECTED,BH
52,25-44,Female,Expats,High School,16000,NOTSELECTED,BH
53,45+,Female,Expats,High School,3100,NOTSELECTED,BH
54,18-24,Male,Locals,Graduated,9800,NOTSELECTED,BH
55,25-44,Male,Locals,Graduated,31000,NOTSELECTED,BH
56,45+,Male,Locals,Graduated,5700,NOTSELECTED,BH
57,18-24,Female,Locals,Graduated,7200,NOTSELECTED,BH
58,25-44,Female,Locals,Graduated,19000,NOTSELECTED,BH
59,45+,Female,Locals,Graduated,1900,NOTSELECTED,BH
60,18-24,Male,Locals,No Degree,40000,NOTSELECTED,BH
61,25-44,Male,Locals,No Degree,67000,NOTSELECTED,BH
62,45+,Male,Locals,No Degree,17000,NOTSELECTED,BH
63,18-24,Female,Locals,No Degree,25000,NOTSELECTED,BH
64,25-44,Female,Locals,No Degree,39000,NOTSELECTED,BH
65,45+,Female,Locals,No Degree,7600,NOTSELECTED,BH
66,18-24,Male,Locals,High School,7800,NOTSELECTED,BH
67,25-44,Male,Locals,High School,9300,NOTSELECTED,BH
68,45+,Male,Locals,High School,2100,NOTSELECTED,BH
69,18-24,Female,Locals,High School,8400,NOTSELECTED,BH
70,25-44,Female,Locals,High School,5300,NOTSELECTED,BH
71,45+,Female,Locals,High School,630,NOTSELECTED,BH
72,18-24,Male,Expats,Graduated,140000,NOTSELECTED,EG
73,25-44,Male,Expats,Graduated,270000,NOTSELECTED,EG
