,age_range,gender,citizenship,scholarity,audience,topic,country_code
4896,18-24,Male,Expats,Graduated,150000,shopping,DZ
4897,25-44,Male,Expats,Graduated,160000,shopping,DZ
4898,45+,Male,Expats,Graduated,21000,shopping,DZ
4899,18-24,Female,Expats,Graduated,64000,shopping,DZ
4900,25-44,Female,Expats,Graduated,44000,shopping,DZ
4901,45+,Female,Expats,Graduated,7100,shopping,DZ
4902,18-24,Male,Expats,No Degree,120000,shopping,DZ
4903,25-44,Male,Expats,No Degree,180000,shopping,DZ
4904,45+,Male,Expats,No Degree,32000,shopping,DZ
4905,18-24,Female,Expats,No Degree,70000,shopping,DZ
4906,25-44,Female,Expats,No Degree,65000,shopping,DZ
4907,45+,Female,Expats,No Degree,11000,shopping,DZ
4908,18-24,Male,Expats,High School,58000,shopping,DZ
4909,25-44,Male,Expats,High School,39000,shopping,DZ
4910,45+,Male,Expats,High School,7300,shopping,DZ
4911,18-24,Female,Expats,High School,27000,shopping,DZ
4912,25-44,Female,Expats,High School,12000,shopping,DZ
4913,45+,Female,Expats,High School,2900,shopping,DZ
4914,18-24,Male,Locals,Graduated,710000,shopping,DZ
4915,25-44,Male,Locals,Graduated,1100000,shopping,DZ
4916,45+,Male,Locals,Graduated,120000,shopping,DZ
4917,18-24,Female,Locals,Graduated,530000,shopping,DZ
4918,25-44,Female,Locals,Graduated,540000,shopping,DZ
4919,45+,Female,Locals,Graduated,49000,shopping,DZ
4920,18-24,Male,Locals,No Degree,1100000,shopping,DZ
4921,25-44,Male,Locals,No Degree,1700000,shopping,DZ
4922,45+,Male,Locals,No Degree,260000,shopping,DZ
4923,18-24,Female,Locals,No Degree,970000,shopping,DZ
4924,25-44,Female,Locals,No Degree,840000,shopping,DZ
4925,45+,Female,Locals,No Degree,120000,shopping,DZ
4926,18-24,Male,Locals,High School,330000,shopping,DZ
4927,25-44,Male,Locals,High School,310000,shopping,DZ
4928,45+,Male,Locals,High School,47000,shopping,DZ
4929,18-24,Female,Locals,High School,270000,shopping,DZ
4930,25-44,Female,Locals,High School,130000,shopping,DZ
4931,45+,Female,Locals,High School,21000,shopping,DZ
4932,18-24,Male,Expats,Graduated,25000,shopping,BH
4933,25-44,Male,Expats,Graduated,120000,shopping,BH
4934,45+,Male,Expats,Graduated,18000,shopping,BH
4935,18-24,Female,Expats,Graduated,7100,shopping,BH
4936,25-44,Female,Expats,Graduated,46000,shopping,BH
4937,45+,Female,Expats,Graduated,8200,shopping,BH
4938,18-24,Male,Expats,No Degree,49000,shopping,BH
4939,25-44,Male,Expats,No Degree,140000,shopping,BH
4940,45+,Male,Expats,No Degree,24000,shopping,BH
4941,18-24,Female,Expats,No Degree,13000,shopping,BH
4942,25-44,Female,Expats,No Degree,34000,shopping,BH
4943,45+,Female,Expats,No Degree,7900,shopping,BH
4944,18-24,Male,Expats,High School,11000,shopping,BH
4945,25-44,Male,Expats,High School,34000,shopping,BH
4946,45+,Male,Expats,High School,5900,shopping,BH
4947,18-24,Female,Expats,High School,4700,shopping,BH
4948,25-44,Female,Expats,High School,14000,shopping,BH
4949,45+,Female,Expats,High School,2800,shopping,BH
4950,18-24,Male,Locals,Graduated,5600,shopping,BH
4951,25-44,Male,Locals,Graduated,18000,shopping,BH
4952,45+,Male,Locals,Graduated,3200,shopping,BH
4953,18-24,Female,Locals,Graduated,3800,shopping,BH
4954,25-44,Female,Locals,Graduated,12000,shopping,BH
4955,45+,Female,Locals,Graduated,1100,shopping,BH
4956,18-24,Male,Locals,No Degree,11000,shopping,BH
4957,25-44,Male,Locals,No Degree,20000,shopping,BH
4958,45+,Male,Locals,No Degree,5400,shopping,BH
4959,18-24,Female,Locals,No Degree,7300,shopping,BH
4960,25-44,Female,Locals,No Degree,13000,shopping,BH
4961,45+,Female,Locals,No Degree,2400,shopping,BH
4962,18-24,Male,Locals,High School,4000,shopping,BH
4963,25-44,Male,Locals,High School,5400,shopping,BH
4964,45+,Male,Locals,High School,990,shopping,BH
4965,18-24,Female,Locals,High School,4100,shopping,BH
4966,25-44,Female,Locals,High School,2900,shopping,BH
4967,45+,Female,Locals,High School,380,shopping,BH
4968,18-24,Male,Expats,Graduated,100000,shopping,EG
4969,25-44,Male,Expats,Graduated,190000,shopping,EG
4970,45+,Male,Expats,Graduated,33000,shopping,EG
4971,18-24,Female,Expats,Graduated,46000,shopping,EG
4972,25-44,Female,Expats,Graduated,78000,shopping,EG
4973,45+,Female,Expats,Graduated,14000,shopping,EG
4974,18-24,Male,Expats,No Degree,61000,shopping,EG
4975,25-44,Male,Expats,No Degree,100000,shopping,EG
4976,45+,Male,Expats,No Degree,25000,shopping,EG
4977,18-24,Female,Expats,No Degree,36000,shopping,EG
4978,25-44,Female,Expats,No Degree,50000,shopping,EG
4979,45+,Female,Expats,No Degree,15000,shopping,EG
4980,18-24,Male,Expats,High School,56000,shopping,EG
4981,25-44,Male,Expats,High School,44000,shopping,EG
