,Unnamed: 0.1,ages_ranges,genders,behavior,scholarities,audience,timestamp,topic,location
6120,6120,18-24,1.0,Expats,Graduated,180000,1486306185.85,mobile phones gadgets,DZ
6121,6121,25-44,1.0,Expats,Graduated,200000,1486306185.85,mobile phones gadgets,DZ
6122,6122,45+,1.0,Expats,Graduated,25000,1486306185.85,mobile phones gadgets,DZ
6123,6123,18-24,2.0,Expats,Graduated,78000,1486306185.85,mobile phones gadgets,DZ
6124,6124,25-44,2.0,Expats,Graduated,50000,1486306185.85,mobile phones gadgets,DZ
6125,6125,45+,2.0,Expats,Graduated,7200,1486306185.85,mobile phones gadgets,DZ
6126,6126,18-24,1.0,Expats,No Degree,180000,1486306185.85,mobile phones gadgets,DZ
6127,6127,25-44,1.0,Expats,No Degree,280000,1486306185.85,mobile phones gadgets,DZ
6128,6128,45+,1.0,Expats,No Degree,44000,1486306185.85,mobile phones gadgets,DZ
6129,6129,18-24,2.0,Expats,No Degree,110000,1486306185.85,mobile phones gadgets,DZ
6130,6130,25-44,2.0,Expats,No Degree,90000,1486306185.85,mobile phones gadgets,DZ
6131,6131,45+,2.0,Expats,No Degree,14000,1486306185.85,mobile phones gadgets,DZ
6132,6132,18-24,1.0,Expats,High School,70000,1486306185.85,mobile phones gadgets,DZ
6133,6133,25-44,1.0,Expats,High School,48000,1486306185.85,mobile phones gadgets,DZ
6134,6134,45+,1.0,Expats,High School,8500,1486306185.85,mobile phones gadgets,DZ
6135,6135,18-24,2.0,Expats,High School,32000,1486306185.85,mobile phones gadgets,DZ
6136,6136,25-44,2.0,Expats,High School,14000,1486306185.85,mobile phones gadgets,DZ
6137,6137,45+,2.0,Expats,High School,3100,1486306185.85,mobile phones gadgets,DZ
6138,6138,18-24,1.0,Locals,Graduated,860000,1486306185.85,mobile phones gadgets,DZ
6139,6139,25-44,1.0,Locals,Graduated,1300000,1486306185.85,mobile phones gadgets,DZ
6140,6140,45+,1.0,Locals,Graduated,140000,1486306185.85,mobile phones gadgets,DZ
6141,6141,18-24,2.0,Locals,Graduated,610000,1486306185.85,mobile phones gadgets,DZ
6142,6142,25-44,2.0,Locals,Graduated,570000,1486306185.85,mobile phones gadgets,DZ
6143,6143,45+,2.0,Locals,Graduated,51000,1486306185.85,mobile phones gadgets,DZ
6144,6144,18-24,1.0,Locals,No Degree,1700000,1486306185.85,mobile phones gadgets,DZ
6145,6145,25-44,1.0,Locals,No Degree,2400000,1486306185.85,mobile phones gadgets,DZ
6146,6146,45+,1.0,Locals,No Degree,370000,1486306185.85,mobile phones gadgets,DZ
6147,6147,18-24,2.0,Locals,No Degree,1400000,1486306185.85,mobile phones gadgets,DZ
6148,6148,25-44,2.0,Locals,No Degree,1100000,1486306185.85,mobile phones gadgets,DZ
6149,6149,45+,2.0,Locals,No Degree,150000,1486306185.85,mobile phones gadgets,DZ
6150,6150,18-24,1.0,Locals,High School,400000,1486306185.85,mobile phones gadgets,DZ
6151,6151,25-44,1.0,Locals,High School,380000,1486306185.85,mobile phones gadgets,DZ
6152,6152,45+,1.0,Locals,High School,56000,1486306185.85,mobile phones gadgets,DZ
6153,6153,18-24,2.0,Locals,High School,310000,1486306185.85,mobile phones gadgets,DZ
6154,6154,25-44,2.0,Locals,High School,140000,1486306185.85,mobile phones gadgets,DZ
6155,6155,45+,2.0,Locals,High School,22000,1486306185.85,mobile phones gadgets,DZ
6156,6156,18-24,1.0,Expats,Graduated,27000,1486306185.85,mobile phones gadgets,BH
6157,6157,25-44,1.0,Expats,Graduated,140000,1486306185.85,mobile phones gadgets,BH
6158,6158,45+,1.0,Expats,Graduated,20000,1486306185.85,mobile phones gadgets,BH
6159,6159,18-24,2.0,Expats,Graduated,7200,1486306185.85,mobile phones gadgets,BH
6160,6160,25-44,2.0,Expats,Graduated,46000,1486306185.85,mobile phones gadgets,BH
6161,6161,45+,2.0,Expats,Graduated,8300,1486306185.85,mobile phones gadgets,BH
6162,6162,18-24,1.0,Expats,No Degree,58000,1486306185.85,mobile phones gadgets,BH
6163,6163,25-44,1.0,Expats,No Degree,160000,1486306185.85,mobile phones gadgets,BH
6164,6164,45+,1.0,Expats,No Degree,29000,1486306185.85,mobile phones gadgets,BH
6165,6165,18-24,2.0,Expats,No Degree,16000,1486306185.85,mobile phones gadgets,BH
6166,6166,25-44,2.0,Expats,No Degree,37000,1486306185.85,mobile phones gadgets,BH
6167,6167,45+,2.0,Expats,No Degree,8700,1486306185.85,mobile phones gadgets,BH
6168,6168,18-24,1.0,Expats,High School,12000,1486306185.85,mobile phones gadgets,BH
6169,6169,25-44,1.0,Expats,High School,38000,1486306185.85,mobile phones gadgets,BH
6170,6170,45+,1.0,Expats,High School,6500,1486306185.85,mobile phones gadgets,BH
6171,6171,18-24,2.0,Expats,High School,4800,1486306185.85,mobile phones gadgets,BH
6172,6172,25-44,2.0,Expats,High School,14000,1486306185.85,mobile phones gadgets,BH
6173,6173,45+,2.0,Expats,High School,2700,1486306185.85,mobile phones gadgets,BH
6174,6174,18-24,1.0,Locals,Graduated,6100,1486306185.85,mobile phones gadgets,BH
6175,6175,25-44,1.0,Locals,Graduated,20000,1486306185.85,mobile phones gadgets,BH
6176,6176,45+,1.0,Locals,Graduated,3600,1486306185.85,mobile phones gadgets,BH
6177,6177,18-24,2.0,Locals,Graduated,3400,1486306185.85,mobile phones gadgets,BH
6178,6178,25-44,2.0,Locals,Graduated,10000,1486306185.85,mobile phones gadgets,BH
6179,6179,45+,2.0,Locals,Graduated,1100,1486306185.85,mobile phones gadgets,BH
6180,6180,18-24,1.0,Locals,No Degree,17000,1486306185.85,mobile phones gadgets,BH
6181,6181,25-44,1.0,Locals,No Degree,30000,1486306185.85,mobile phones gadgets,BH
6182,6182,45+,1.0,Locals,No Degree,7600,1486306185.85,mobile phones gadgets,BH
6183,6183,18-24,2.0,Locals,No Degree,8300,1486306185.85,mobile phones gadgets,BH
6184,6184,25-44,2.0,Locals,No Degree,14000,1486306185.85,mobile phones gadgets,BH
6185,6185,45+,2.0,Locals,No Degree,2900,1486306185.85,mobile phones gadgets,BH
6186,6186,18-24,1.0,Locals,High School,4400,1486306185.85,mobile phones gadgets,BH
6187,6187,25-44,1.0,Locals,High School,6200,1486306185.85,mobile phones gadgets,BH
6188,6188,45+,1.0,Locals,High School,1200,1486306185.85,mobile phones gadgets,BH
6189,6189,18-24,2.0,Locals,High School,3700,1486306185.85,mobile phones gadgets,BH
6190,6190,25-44,2.0,Locals,High School,2800,1486306185.85,mobile phones gadgets,BH
6191,6191,45+,2.0,Locals,High School,360,1486306185.85,mobile phones gadgets,BH
6192,6192,18-24,1.0,Expats,Graduated,130000,1486306185.85,mobile phones gadgets,EG
6193,6193,25-44,1.0,Expats,Graduated,230000,1486306185.85,mobile phones gadgets,EG
6194,6194,45+,1.0,Expats,Graduated,38000,1486306185.85,mobile phones gadgets,EG
6195,6195,18-24,2.0,Expats,Graduated,54000,1486306185.85,mobile phones gadgets,EG
6196,6196,25-44,2.0,Expats,Graduated,85000,1486306185.85,mobile phones gadgets,EG
6197,6197,45+,2.0,Expats,Graduated,14000,1486306185.85,mobile phones gadgets,EG
6198,6198,18-24,1.0,Expats,No Degree,100000,1486306185.85,mobile phones gadgets,EG
6199,6199,25-44,1.0,Expats,No Degree,160000,1486306185.85,mobile phones gadgets,EG
6200,6200,45+,1.0,Expats,No Degree,34000,1486306185.85,mobile phones gadgets,EG
6201,6201,18-24,2.0,Expats,No Degree,53000,1486306185.85,mobile phones gadgets,EG
6202,6202,25-44,2.0,Expats,No Degree,64000,1486306185.85,mobile phones gadgets,EG
6203,6203,45+,2.0,Expats,No Degree,17000,1486306185.85,mobile phones gadgets,EG
6204,6204,18-24,1.0,Expats,High School,66000,1486306185.85,mobile phones gadgets,EG
6205,6205,25-44,1.0,Expats,High School,54000,1486306185.85,mobile phones gadgets,EG
6206,6206,45+,1.0,Expats,High School,9300,1486306185.85,mobile phones gadgets,EG
6207,6207,18-24,2.0,Expats,High School,37000,1486306185.85,mobile phones gadgets,EG
6208,6208,25-44,2.0,Expats,High School,22000,1486306185.85,mobile phones gadgets,EG
6209,6209,45+,2.0,Expats,High School,4500,1486306185.85,mobile phones gadgets,EG
6210,6210,18-24,1.0,Locals,Graduated,2200000,1486306185.85,mobile phones gadgets,EG
6211,6211,25-44,1.0,Locals,Graduated,3700000,1486306185.85,mobile phones gadgets,EG
6212,6212,45+,1.0,Locals,Graduated,600000,1486306185.85,mobile phones gadgets,EG
6213,6213,18-24,2.0,Locals,Graduated,1400000,1486306185.85,mobile phones gadgets,EG
6214,6214,25-44,2.0,Locals,Graduated,1900000,1486306185.85,mobile phones gadgets,EG
6215,6215,45+,2.0,Locals,Graduated,260000,1486306185.85,mobile phones gadgets,EG
6216,6216,18-24,1.0,Locals,No Degree,2600000,1486306185.85,mobile phones gadgets,EG
6217,6217,25-44,1.0,Locals,No Degree,3700000,1486306185.85,mobile phones gadgets,EG
6218,6218,45+,1.0,Locals,No Degree,1000000,1486306185.85,mobile phones gadgets,EG
6219,6219,18-24,2.0,Locals,No Degree,1600000,1486306185.85,mobile phones gadgets,EG
6220,6220,25-44,2.0,Locals,No Degree,1700000,1486306185.85,mobile phones gadgets,EG
6221,6221,45+,2.0,Locals,No Degree,540000,1486306185.85,mobile phones gadgets,EG
6222,6222,18-24,1.0,Locals,High School,1200000,1486306185.85,mobile phones gadgets,EG
6223,6223,25-44,1.0,Locals,High School,910000,1486306185.85,mobile phones gadgets,EG
6224,6224,45+,1.0,Locals,High School,160000,1486306185.85,mobile phones gadgets,EG
6225,6225,18-24,2.0,Locals,High School,990000,1486306185.85,mobile phones gadgets,EG
6226,6226,25-44,2.0,Locals,High School,390000,1486306185.85,mobile phones gadgets,EG
6227,6227,45+,2.0,Locals,High School,65000,1486306185.85,mobile phones gadgets,EG
6228,6228,18-24,1.0,Expats,Graduated,91000,1486306185.85,mobile phones gadgets,IQ
6229,6229,25-44,1.0,Expats,Graduated,170000,1486306185.85,mobile phones gadgets,IQ
6230,6230,45+,1.0,Expats,Graduated,22000,1486306185.85,mobile phones gadgets,IQ
6231,6231,18-24,2.0,Expats,Graduated,24000,1486306185.85,mobile phones gadgets,IQ
6232,6232,25-44,2.0,Expats,Graduated,33000,1486306185.85,mobile phones gadgets,IQ
6233,6233,45+,2.0,Expats,Graduated,3500,1486306185.85,mobile phones gadgets,IQ
6234,6234,18-24,1.0,Expats,No Degree,100000,1486306185.85,mobile phones gadgets,IQ
6235,6235,25-44,1.0,Expats,No Degree,140000,1486306185.85,mobile phones gadgets,IQ
6236,6236,45+,1.0,Expats,No Degree,23000,1486306185.85,mobile phones gadgets,IQ
6237,6237,18-24,2.0,Expats,No Degree,48000,1486306185.85,mobile phones gadgets,IQ
6238,6238,25-44,2.0,Expats,No Degree,41000,1486306185.85,mobile phones gadgets,IQ
6239,6239,45+,2.0,Expats,No Degree,6600,1486306185.85,mobile phones gadgets,IQ
6240,6240,18-24,1.0,Expats,High School,45000,1486306185.85,mobile phones gadgets,IQ
6241,6241,25-44,1.0,Expats,High School,49000,1486306185.85,mobile phones gadgets,IQ
6242,6242,45+,1.0,Expats,High School,6600,1486306185.85,mobile phones gadgets,IQ
6243,6243,18-24,2.0,Expats,High School,16000,1486306185.85,mobile phones gadgets,IQ
6244,6244,25-44,2.0,Expats,High School,11000,1486306185.85,mobile phones gadgets,IQ
6245,6245,45+,2.0,Expats,High School,1400,1486306185.85,mobile phones gadgets,IQ
6246,6246,18-24,1.0,Locals,Graduated,870000,1486306185.85,mobile phones gadgets,IQ
6247,6247,25-44,1.0,Locals,Graduated,1500000,1486306185.85,mobile phones gadgets,IQ
6248,6248,45+,1.0,Locals,Graduated,230000,1486306185.85,mobile phones gadgets,IQ
6249,6249,18-24,2.0,Locals,Graduated,280000,1486306185.85,mobile phones gadgets,IQ
6250,6250,25-44,2.0,Locals,Graduated,380000,1486306185.85,mobile phones gadgets,IQ
6251,6251,45+,2.0,Locals,Graduated,55000,1486306185.85,mobile phones gadgets,IQ
6252,6252,18-24,1.0,Locals,No Degree,2000000,1486306185.85,mobile phones gadgets,IQ
6253,6253,25-44,1.0,Locals,No Degree,2000000,1486306185.85,mobile phones gadgets,IQ
6254,6254,45+,1.0,Locals,No Degree,470000,1486306185.85,mobile phones gadgets,IQ
6255,6255,18-24,2.0,Locals,No Degree,820000,1486306185.85,mobile phones gadgets,IQ
6256,6256,25-44,2.0,Locals,No Degree,680000,1486306185.85,mobile phones gadgets,IQ
6257,6257,45+,2.0,Locals,No Degree,160000,1486306185.85,mobile phones gadgets,IQ
6258,6258,18-24,1.0,Locals,High School,530000,1486306185.85,mobile phones gadgets,IQ
6259,6259,25-44,1.0,Locals,High School,480000,1486306185.85,mobile phones gadgets,IQ
6260,6260,45+,1.0,Locals,High School,77000,1486306185.85,mobile phones gadgets,IQ
6261,6261,18-24,2.0,Locals,High School,250000,1486306185.85,mobile phones gadgets,IQ
6262,6262,25-44,2.0,Locals,High School,130000,1486306185.85,mobile phones gadgets,IQ
6263,6263,45+,2.0,Locals,High School,20000,1486306185.85,mobile phones gadgets,IQ
6264,6264,18-24,1.0,Expats,Graduated,67000,1486306185.85,mobile phones gadgets,JO
6265,6265,25-44,1.0,Expats,Graduated,140000,1486306185.85,mobile phones gadgets,JO
6266,6266,45+,1.0,Expats,Graduated,24000,1486306185.85,mobile phones gadgets,JO
6267,6267,18-24,2.0,Expats,Graduated,38000,1486306185.85,mobile phones gadgets,JO
6268,6268,25-44,2.0,Expats,Graduated,78000,1486306185.85,mobile phones gadgets,JO
6269,6269,45+,2.0,Expats,Graduated,16000,1486306185.85,mobile phones gadgets,JO
6270,6270,18-24,1.0,Expats,No Degree,110000,1486306185.85,mobile phones gadgets,JO
6271,6271,25-44,1.0,Expats,No Degree,170000,1486306185.85,mobile phones gadgets,JO
6272,6272,45+,1.0,Expats,No Degree,36000,1486306185.85,mobile phones gadgets,JO
6273,6273,18-24,2.0,Expats,No Degree,66000,1486306185.85,mobile phones gadgets,JO
6274,6274,25-44,2.0,Expats,No Degree,77000,1486306185.85,mobile phones gadgets,JO
6275,6275,45+,2.0,Expats,No Degree,26000,1486306185.85,mobile phones gadgets,JO
6276,6276,18-24,1.0,Expats,High School,50000,1486306185.85,mobile phones gadgets,JO
6277,6277,25-44,1.0,Expats,High School,46000,1486306185.85,mobile phones gadgets,JO
6278,6278,45+,1.0,Expats,High School,8000,1486306185.85,mobile phones gadgets,JO
6279,6279,18-24,2.0,Expats,High School,43000,1486306185.85,mobile phones gadgets,JO
6280,6280,25-44,2.0,Expats,High School,26000,1486306185.85,mobile phones gadgets,JO
6281,6281,45+,2.0,Expats,High School,6300,1486306185.85,mobile phones gadgets,JO
6282,6282,18-24,1.0,Locals,Graduated,190000,1486306185.85,mobile phones gadgets,JO
6283,6283,25-44,1.0,Locals,Graduated,360000,1486306185.85,mobile phones gadgets,JO
6284,6284,45+,1.0,Locals,Graduated,71000,1486306185.85,mobile phones gadgets,JO
6285,6285,18-24,2.0,Locals,Graduated,130000,1486306185.85,mobile phones gadgets,JO
6286,6286,25-44,2.0,Locals,Graduated,220000,1486306185.85,mobile phones gadgets,JO
6287,6287,45+,2.0,Locals,Graduated,34000,1486306185.85,mobile phones gadgets,JO
6288,6288,18-24,1.0,Locals,No Degree,330000,1486306185.85,mobile phones gadgets,JO
6289,6289,25-44,1.0,Locals,No Degree,380000,1486306185.85,mobile phones gadgets,JO
6290,6290,45+,1.0,Locals,No Degree,140000,1486306185.85,mobile phones gadgets,JO
6291,6291,18-24,2.0,Locals,No Degree,270000,1486306185.85,mobile phones gadgets,JO
6292,6292,25-44,2.0,Locals,No Degree,290000,1486306185.85,mobile phones gadgets,JO
6293,6293,45+,2.0,Locals,No Degree,99000,1486306185.85,mobile phones gadgets,JO
6294,6294,18-24,1.0,Locals,High School,150000,1486306185.85,mobile phones gadgets,JO
