,Unnamed: 0.1,ages_ranges,genders,behavior,scholarities,relationship_statuses,audience,timestamp,topic,location
4284,4284,18-24,1.0,Expats,Graduated,NOTSELECTED,58000,1487179595.78,cars vehicles,DZ
4285,4285,25-44,1.0,Expats,Graduated,NOTSELECTED,42000,1487179595.78,cars vehicles,DZ
4286,4286,45+,1.0,Expats,Graduated,NOTSELECTED,4200,1487179595.78,cars vehicles,DZ
4287,4287,18-24,2.0,Expats,Graduated,NOTSELECTED,9000,1487179595.78,cars vehicles,DZ
4288,4288,25-44,2.0,Expats,Graduated,NOTSELECTED,5000,1487179595.78,cars vehicles,DZ
4289,4289,45+,2.0,Expats,Graduated,NOTSELECTED,650,1487179595.78,cars vehicles,DZ
4290,4290,18-24,1.0,Expats,No Degree,NOTSELECTED,25000,1487179595.78,cars vehicles,DZ
4291,4291,25-44,1.0,Expats,No Degree,NOTSELECTED,23000,1487179595.78,cars vehicles,DZ
4292,4292,45+,1.0,Expats,No Degree,NOTSELECTED,2700,1487179595.78,cars vehicles,DZ
4293,4293,18-24,2.0,Expats,No Degree,NOTSELECTED,4900,1487179595.78,cars vehicles,DZ
4294,4294,25-44,2.0,Expats,No Degree,NOTSELECTED,4000,1487179595.78,cars vehicles,DZ
4295,4295,45+,2.0,Expats,No Degree,NOTSELECTED,810,1487179595.78,cars vehicles,DZ
4296,4296,18-24,1.0,Expats,High School,NOTSELECTED,22000,1487179595.78,cars vehicles,DZ
4297,4297,25-44,1.0,Expats,High School,NOTSELECTED,9400,1487179595.78,cars vehicles,DZ
4298,4298,45+,1.0,Expats,High School,NOTSELECTED,1100,1487179595.78,cars vehicles,DZ
4299,4299,18-24,2.0,Expats,High School,NOTSELECTED,3900,1487179595.78,cars vehicles,DZ
4300,4300,25-44,2.0,Expats,High School,NOTSELECTED,1200,1487179595.78,cars vehicles,DZ
4301,4301,45+,2.0,Expats,High School,NOTSELECTED,240,1487179595.78,cars vehicles,DZ
4302,4302,18-24,1.0,Locals,Graduated,NOTSELECTED,230000,1487179595.78,cars vehicles,DZ
4303,4303,25-44,1.0,Locals,Graduated,NOTSELECTED,260000,1487179595.78,cars vehicles,DZ
4304,4304,45+,1.0,Locals,Graduated,NOTSELECTED,17000,1487179595.78,cars vehicles,DZ
4305,4305,18-24,2.0,Locals,Graduated,NOTSELECTED,62000,1487179595.78,cars vehicles,DZ
4306,4306,25-44,2.0,Locals,Graduated,NOTSELECTED,58000,1487179595.78,cars vehicles,DZ
4307,4307,45+,2.0,Locals,Graduated,NOTSELECTED,4300,1487179595.78,cars vehicles,DZ
4308,4308,18-24,1.0,Locals,No Degree,NOTSELECTED,200000,1487179595.78,cars vehicles,DZ
4309,4309,25-44,1.0,Locals,No Degree,NOTSELECTED,230000,1487179595.78,cars vehicles,DZ
4310,4310,45+,1.0,Locals,No Degree,NOTSELECTED,18000,1487179595.78,cars vehicles,DZ
4311,4311,18-24,2.0,Locals,No Degree,NOTSELECTED,54000,1487179595.78,cars vehicles,DZ
4312,4312,25-44,2.0,Locals,No Degree,NOTSELECTED,46000,1487179595.78,cars vehicles,DZ
4313,4313,45+,2.0,Locals,No Degree,NOTSELECTED,5700,1487179595.78,cars vehicles,DZ
4314,4314,18-24,1.0,Locals,High School,NOTSELECTED,110000,1487179595.78,cars vehicles,DZ
4315,4315,25-44,1.0,Locals,High School,NOTSELECTED,71000,1487179595.78,cars vehicles,DZ
4316,4316,45+,1.0,Locals,High School,NOTSELECTED,5600,1487179595.78,cars vehicles,DZ
4317,4317,18-24,2.0,Locals,High School,NOTSELECTED,34000,1487179595.78,cars vehicles,DZ
4318,4318,25-44,2.0,Locals,High School,NOTSELECTED,13000,1487179595.78,cars vehicles,DZ
4319,4319,45+,2.0,Locals,High School,NOTSELECTED,1900,1487179595.78,cars vehicles,DZ
4320,4320,18-24,1.0,Expats,Graduated,NOTSELECTED,9300,1487179595.78,cars vehicles,BH
4321,4321,25-44,1.0,Expats,Graduated,NOTSELECTED,41000,1487179595.78,cars vehicles,BH
4322,4322,45+,1.0,Expats,Graduated,NOTSELECTED,5100,1487179595.78,cars vehicles,BH
4323,4323,18-24,2.0,Expats,Graduated,NOTSELECTED,1400,1487179595.78,cars vehicles,BH
4324,4324,25-44,2.0,Expats,Graduated,NOTSELECTED,8700,1487179595.78,cars vehicles,BH
4325,4325,45+,2.0,Expats,Graduated,NOTSELECTED,1900,1487179595.78,cars vehicles,BH
