,Unnamed: 0.1,ages_ranges,genders,behavior,scholarities,relationship_statuses,audience,timestamp,topic,location
8568,8568,18-24,1.0,Expats,Graduated,NOTSELECTED,110000,1487179595.78,health,DZ
8569,8569,25-44,1.0,Expats,Graduated,NOTSELECTED,110000,1487179595.78,health,DZ
8570,8570,45+,1.0,Expats,Graduated,NOTSELECTED,15000,1487179595.78,health,DZ
8571,8571,18-24,2.0,Expats,Graduated,NOTSELECTED,37000,1487179595.78,health,DZ
8572,8572,25-44,2.0,Expats,Graduated,NOTSELECTED,30000,1487179595.78,health,DZ
8573,8573,45+,2.0,Expats,Graduated,NOTSELECTED,5600,1487179595.78,health,DZ
8574,8574,18-24,1.0,Expats,No Degree,NOTSELECTED,66000,1487179595.78,health,DZ
8575,8575,25-44,1.0,Expats,No Degree,NOTSELECTED,96000,1487179595.78,health,DZ
8576,8576,45+,1.0,Expats,No Degree,NOTSELECTED,18000,1487179595.78,health,DZ
8577,8577,18-24,2.0,Expats,No Degree,NOTSELECTED,32000,1487179595.78,health,DZ
8578,8578,25-44,2.0,Expats,No Degree,NOTSELECTED,35000,1487179595.78,health,DZ
8579,8579,45+,2.0,Expats,No Degree,NOTSELECTED,8000,1487179595.78,health,DZ
8580,8580,18-24,1.0,Expats,High School,NOTSELECTED,42000,1487179595.78,health,DZ
8581,8581,25-44,1.0,Expats,High School,NOTSELECTED,25000,1487179595.78,health,DZ
8582,8582,45+,1.0,Expats,High School,NOTSELECTED,5200,1487179595.78,health,DZ
8583,8583,18-24,2.0,Expats,High School,NOTSELECTED,15000,1487179595.78,health,DZ
8584,8584,25-44,2.0,Expats,High School,NOTSELECTED,8000,1487179595.78,health,DZ
8585,8585,45+,2.0,Expats,High School,NOTSELECTED,2300,1487179595.78,health,DZ
8586,8586,18-24,1.0,Locals,Graduated,NOTSELECTED,480000,1487179595.78,health,DZ
8587,8587,25-44,1.0,Locals,Graduated,NOTSELECTED,750000,1487179595.78,health,DZ
8588,8588,45+,1.0,Locals,Graduated,NOTSELECTED,89000,1487179595.78,health,DZ
8589,8589,18-24,2.0,Locals,Graduated,NOTSELECTED,330000,1487179595.78,health,DZ
8590,8590,25-44,2.0,Locals,Graduated,NOTSELECTED,410000,1487179595.78,health,DZ
8591,8591,45+,2.0,Locals,Graduated,NOTSELECTED,40000,1487179595.78,health,DZ
8592,8592,18-24,1.0,Locals,No Degree,NOTSELECTED,580000,1487179595.78,health,DZ
8593,8593,25-44,1.0,Locals,No Degree,NOTSELECTED,930000,1487179595.78,health,DZ
8594,8594,45+,1.0,Locals,No Degree,NOTSELECTED,160000,1487179595.78,health,DZ
8595,8595,18-24,2.0,Locals,No Degree,NOTSELECTED,440000,1487179595.78,health,DZ
8596,8596,25-44,2.0,Locals,No Degree,NOTSELECTED,510000,1487179595.78,health,DZ
8597,8597,45+,2.0,Locals,No Degree,NOTSELECTED,86000,1487179595.78,health,DZ
8598,8598,18-24,1.0,Locals,High School,NOTSELECTED,230000,1487179595.78,health,DZ
8599,8599,25-44,1.0,Locals,High School,NOTSELECTED,210000,1487179595.78,health,DZ
8600,8600,45+,1.0,Locals,High School,NOTSELECTED,34000,1487179595.78,health,DZ
8601,8601,18-24,2.0,Locals,High School,NOTSELECTED,170000,1487179595.78,health,DZ
8602,8602,25-44,2.0,Locals,High School,NOTSELECTED,96000,1487179595.78,health,DZ
8603,8603,45+,2.0,Locals,High School,NOTSELECTED,18000,1487179595.78,health,DZ
8604,8604,18-24,1.0,Expats,Graduated,NOTSELECTED,16000,1487179595.78,health,BH
8605,8605,25-44,1.0,Expats,Graduated,NOTSELECTED,82000,1487179595.78,health,BH
8606,8606,45+,1.0,Expats,Graduated,NOTSELECTED,11000,1487179595.78,health,BH
8607,8607,18-24,2.0,Expats,Graduated,NOTSELECTED,4700,1487179595.78,health,BH
8608,8608,25-44,2.0,Expats,Graduated,NOTSELECTED,38000,1487179595.78,health,BH
8609,8609,45+,2.0,Expats,Graduated,NOTSELECTED,6800,1487179595.78,health,BH
8610,8610,18-24,1.0,Expats,No Degree,NOTSELECTED,23000,1487179595.78,health,BH
8611,8611,25-44,1.0,Expats,No Degree,NOTSELECTED,73000,1487179595.78,health,BH
8612,8612,45+,1.0,Expats,No Degree,NOTSELECTED,12000,1487179595.78,health,BH
8613,8613,18-24,2.0,Expats,No Degree,NOTSELECTED,6200,1487179595.78,health,BH
8614,8614,25-44,2.0,Expats,No Degree,NOTSELECTED,22000,1487179595.78,health,BH
8615,8615,45+,2.0,Expats,No Degree,NOTSELECTED,5500,1487179595.78,health,BH
8616,8616,18-24,1.0,Expats,High School,NOTSELECTED,7500,1487179595.78,health,BH
8617,8617,25-44,1.0,Expats,High School,NOTSELECTED,22000,1487179595.78,health,BH
8618,8618,45+,1.0,Expats,High School,NOTSELECTED,3700,1487179595.78,health,BH
8619,8619,18-24,2.0,Expats,High School,NOTSELECTED,3000,1487179595.78,health,BH
8620,8620,25-44,2.0,Expats,High School,NOTSELECTED,11000,1487179595.78,health,BH
8621,8621,45+,2.0,Expats,High School,NOTSELECTED,2300,1487179595.78,health,BH
8622,8622,18-24,1.0,Locals,Graduated,NOTSELECTED,3500,1487179595.78,health,BH
8623,8623,25-44,1.0,Locals,Graduated,NOTSELECTED,11000,1487179595.78,health,BH
8624,8624,45+,1.0,Locals,Graduated,NOTSELECTED,1900,1487179595.78,health,BH
8625,8625,18-24,2.0,Locals,Graduated,NOTSELECTED,2200,1487179595.78,health,BH
8626,8626,25-44,2.0,Locals,Graduated,NOTSELECTED,7800,1487179595.78,health,BH
8627,8627,45+,2.0,Locals,Graduated,NOTSELECTED,870,1487179595.78,health,BH
8628,8628,18-24,1.0,Locals,No Degree,NOTSELECTED,4600,1487179595.78,health,BH
8629,8629,25-44,1.0,Locals,No Degree,NOTSELECTED,9700,1487179595.78,health,BH
8630,8630,45+,1.0,Locals,No Degree,NOTSELECTED,2400,1487179595.78,health,BH
8631,8631,18-24,2.0,Locals,No Degree,NOTSELECTED,3400,1487179595.78,health,BH
8632,8632,25-44,2.0,Locals,No Degree,NOTSELECTED,7000,1487179595.78,health,BH
8633,8633,45+,2.0,Locals,No Degree,NOTSELECTED,1200,1487179595.78,health,BH
8634,8634,18-24,1.0,Locals,High School,NOTSELECTED,2400,1487179595.78,health,BH
8635,8635,25-44,1.0,Locals,High School,NOTSELECTED,3400,1487179595.78,health,BH
8636,8636,45+,1.0,Locals,High School,NOTSELECTED,640,1487179595.78,health,BH
8637,8637,18-24,2.0,Locals,High School,NOTSELECTED,2300,1487179595.78,health,BH
8638,8638,25-44,2.0,Locals,High School,NOTSELECTED,1700,1487179595.78,health,BH
8639,8639,45+,2.0,Locals,High School,NOTSELECTED,250,1487179595.78,health,BH
8640,8640,18-24,1.0,Expats,Graduated,NOTSELECTED,67000,1487179595.78,health,EG
8641,8641,25-44,1.0,Expats,Graduated,NOTSELECTED,130000,1487179595.78,health,EG
8642,8642,45+,1.0,Expats,Graduated,NOTSELECTED,24000,1487179595.78,health,EG
8643,8643,18-24,2.0,Expats,Graduated,NOTSELECTED,32000,1487179595.78,health,EG
8644,8644,25-44,2.0,Expats,Graduated,NOTSELECTED,63000,1487179595.78,health,EG
8645,8645,45+,2.0,Expats,Graduated,NOTSELECTED,12000,1487179595.78,health,EG
8646,8646,18-24,1.0,Expats,No Degree,NOTSELECTED,32000,1487179595.78,health,EG
8647,8647,25-44,1.0,Expats,No Degree,NOTSELECTED,54000,1487179595.78,health,EG
8648,8648,45+,1.0,Expats,No Degree,NOTSELECTED,16000,1487179595.78,health,EG
8649,8649,18-24,2.0,Expats,No Degree,NOTSELECTED,19000,1487179595.78,health,EG
8650,8650,25-44,2.0,Expats,No Degree,NOTSELECTED,32000,1487179595.78,health,EG
8651,8651,45+,2.0,Expats,No Degree,NOTSELECTED,12000,1487179595.78,health,EG
8652,8652,18-24,1.0,Expats,High School,NOTSELECTED,41000,1487179595.78,health,EG
8653,8653,25-44,1.0,Expats,High School,NOTSELECTED,29000,1487179595.78,health,EG
8654,8654,45+,1.0,Expats,High School,NOTSELECTED,5700,1487179595.78,health,EG
8655,8655,18-24,2.0,Expats,High School,NOTSELECTED,25000,1487179595.78,health,EG
8656,8656,25-44,2.0,Expats,High School,NOTSELECTED,16000,1487179595.78,health,EG
8657,8657,45+,2.0,Expats,High School,NOTSELECTED,3600,1487179595.78,health,EG
8658,8658,18-24,1.0,Locals,Graduated,NOTSELECTED,1300000,1487179595.78,health,EG
8659,8659,25-44,1.0,Locals,Graduated,NOTSELECTED,2300000,1487179595.78,health,EG
8660,8660,45+,1.0,Locals,Graduated,NOTSELECTED,370000,1487179595.78,health,EG
8661,8661,18-24,2.0,Locals,Graduated,NOTSELECTED,970000,1487179595.78,health,EG
8662,8662,25-44,2.0,Locals,Graduated,NOTSELECTED,1500000,1487179595.78,health,EG
8663,8663,45+,2.0,Locals,Graduated,NOTSELECTED,210000,1487179595.78,health,EG
8664,8664,18-24,1.0,Locals,No Degree,NOTSELECTED,780000,1487179595.78,health,EG
8665,8665,25-44,1.0,Locals,No Degree,NOTSELECTED,1300000,1487179595.78,health,EG
8666,8666,45+,1.0,Locals,No Degree,NOTSELECTED,430000,1487179595.78,health,EG
8667,8667,18-24,2.0,Locals,No Degree,NOTSELECTED,630000,1487179595.78,health,EG
8668,8668,25-44,2.0,Locals,No Degree,NOTSELECTED,970000,1487179595.78,health,EG
8669,8669,45+,2.0,Locals,No Degree,NOTSELECTED,360000,1487179595.78,health,EG
8670,8670,18-24,1.0,Locals,High School,NOTSELECTED,810000,1487179595.78,health,EG
8671,8671,25-44,1.0,Locals,High School,NOTSELECTED,490000,1487179595.78,health,EG
8672,8672,45+,1.0,Locals,High School,NOTSELECTED,97000,1487179595.78,health,EG
8673,8673,18-24,2.0,Locals,High School,NOTSELECTED,720000,1487179595.78,health,EG
8674,8674,25-44,2.0,Locals,High School,NOTSELECTED,290000,1487179595.78,health,EG
8675,8675,45+,2.0,Locals,High School,NOTSELECTED,52000,1487179595.78,health,EG
8676,8676,18-24,1.0,Expats,Graduated,NOTSELECTED,52000,1487179595.78,health,IQ
8677,8677,25-44,1.0,Expats,Graduated,NOTSELECTED,110000,1487179595.78,health,IQ
8678,8678,45+,1.0,Expats,Graduated,NOTSELECTED,15000,1487179595.78,health,IQ
8679,8679,18-24,2.0,Expats,Graduated,NOTSELECTED,9900,1487179595.78,health,IQ
8680,8680,25-44,2.0,Expats,Graduated,NOTSELECTED,21000,1487179595.78,health,IQ
8681,8681,45+,2.0,Expats,Graduated,NOTSELECTED,2900,1487179595.78,health,IQ
8682,8682,18-24,1.0,Expats,No Degree,NOTSELECTED,43000,1487179595.78,health,IQ
8683,8683,25-44,1.0,Expats,No Degree,NOTSELECTED,61000,1487179595.78,health,IQ
8684,8684,45+,1.0,Expats,No Degree,NOTSELECTED,12000,1487179595.78,health,IQ
8685,8685,18-24,2.0,Expats,No Degree,NOTSELECTED,15000,1487179595.78,health,IQ
8686,8686,25-44,2.0,Expats,No Degree,NOTSELECTED,19000,1487179595.78,health,IQ
8687,8687,45+,2.0,Expats,No Degree,NOTSELECTED,4000,1487179595.78,health,IQ
8688,8688,18-24,1.0,Expats,High School,NOTSELECTED,28000,1487179595.78,health,IQ
8689,8689,25-44,1.0,Expats,High School,NOTSELECTED,31000,1487179595.78,health,IQ
8690,8690,45+,1.0,Expats,High School,NOTSELECTED,4600,1487179595.78,health,IQ
8691,8691,18-24,2.0,Expats,High School,NOTSELECTED,8700,1487179595.78,health,IQ
8692,8692,25-44,2.0,Expats,High School,NOTSELECTED,6600,1487179595.78,health,IQ
8693,8693,45+,2.0,Expats,High School,NOTSELECTED,1100,1487179595.78,health,IQ
8694,8694,18-24,1.0,Locals,Graduated,NOTSELECTED,530000,1487179595.78,health,IQ
8695,8695,25-44,1.0,Locals,Graduated,NOTSELECTED,1100000,1487179595.78,health,IQ
8696,8696,45+,1.0,Locals,Graduated,NOTSELECTED,160000,1487179595.78,health,IQ
8697,8697,18-24,2.0,Locals,Graduated,NOTSELECTED,140000,1487179595.78,health,IQ
8698,8698,25-44,2.0,Locals,Graduated,NOTSELECTED,270000,1487179595.78,health,IQ
8699,8699,45+,2.0,Locals,Graduated,NOTSELECTED,45000,1487179595.78,health,IQ
8700,8700,18-24,1.0,Locals,No Degree,NOTSELECTED,860000,1487179595.78,health,IQ
8701,8701,25-44,1.0,Locals,No Degree,NOTSELECTED,1100000,1487179595.78,health,IQ
8702,8702,45+,1.0,Locals,No Degree,NOTSELECTED,280000,1487179595.78,health,IQ
8703,8703,18-24,2.0,Locals,No Degree,NOTSELECTED,270000,1487179595.78,health,IQ
8704,8704,25-44,2.0,Locals,No Degree,NOTSELECTED,360000,1487179595.78,health,IQ
8705,8705,45+,2.0,Locals,No Degree,NOTSELECTED,110000,1487179595.78,health,IQ
8706,8706,18-24,1.0,Locals,High School,NOTSELECTED,350000,1487179595.78,health,IQ
8707,8707,25-44,1.0,Locals,High School,NOTSELECTED,340000,1487179595.78,health,IQ
8708,8708,45+,1.0,Locals,High School,NOTSELECTED,55000,1487179595.78,health,IQ
8709,8709,18-24,2.0,Locals,High School,NOTSELECTED,140000,1487179595.78,health,IQ
8710,8710,25-44,2.0,Locals,High School,NOTSELECTED,91000,1487179595.78,health,IQ
8711,8711,45+,2.0,Locals,High School,NOTSELECTED,16000,1487179595.78,health,IQ
8712,8712,18-24,1.0,Expats,Graduated,NOTSELECTED,43000,1487179595.78,health,JO
8713,8713,25-44,1.0,Expats,Graduated,NOTSELECTED,97000,1487179595.78,health,JO
8714,8714,45+,1.0,Expats,Graduated,NOTSELECTED,17000,1487179595.78,health,JO
8715,8715,18-24,2.0,Expats,Graduated,NOTSELECTED,27000,1487179595.78,health,JO
8716,8716,25-44,2.0,Expats,Graduated,NOTSELECTED,63000,1487179595.78,health,JO
8717,8717,45+,2.0,Expats,Graduated,NOTSELECTED,13000,1487179595.78,health,JO
8718,8718,18-24,1.0,Expats,No Degree,NOTSELECTED,49000,1487179595.78,health,JO
8719,8719,25-44,1.0,Expats,No Degree,NOTSELECTED,87000,1487179595.78,health,JO
8720,8720,45+,1.0,Expats,No Degree,NOTSELECTED,21000,1487179595.78,health,JO
8721,8721,18-24,2.0,Expats,No Degree,NOTSELECTED,27000,1487179595.78,health,JO
8722,8722,25-44,2.0,Expats,No Degree,NOTSELECTED,46000,1487179595.78,health,JO
8723,8723,45+,2.0,Expats,No Degree,NOTSELECTED,20000,1487179595.78,health,JO
8724,8724,18-24,1.0,Expats,High School,NOTSELECTED,36000,1487179595.78,health,JO
8725,8725,25-44,1.0,Expats,High School,NOTSELECTED,31000,1487179595.78,health,JO
8726,8726,45+,1.0,Expats,High School,NOTSELECTED,5600,1487179595.78,health,JO
8727,8727,18-24,2.0,Expats,High School,NOTSELECTED,34000,1487179595.78,health,JO
8728,8728,25-44,2.0,Expats,High School,NOTSELECTED,20000,1487179595.78,health,JO
8729,8729,45+,2.0,Expats,High School,NOTSELECTED,5500,1487179595.78,health,JO
8730,8730,18-24,1.0,Locals,Graduated,NOTSELECTED,130000,1487179595.78,health,JO
8731,8731,25-44,1.0,Locals,Graduated,NOTSELECTED,270000,1487179595.78,health,JO
8732,8732,45+,1.0,Locals,Graduated,NOTSELECTED,51000,1487179595.78,health,JO
8733,8733,18-24,2.0,Locals,Graduated,NOTSELECTED,93000,1487179595.78,health,JO
8734,8734,25-44,2.0,Locals,Graduated,NOTSELECTED,190000,1487179595.78,health,JO
8735,8735,45+,2.0,Locals,Graduated,NOTSELECTED,30000,1487179595.78,health,JO
8736,8736,18-24,1.0,Locals,No Degree,NOTSELECTED,140000,1487179595.78,health,JO
8737,8737,25-44,1.0,Locals,No Degree,NOTSELECTED,200000,1487179595.78,health,JO
8738,8738,45+,1.0,Locals,No Degree,NOTSELECTED,82000,1487179595.78,health,JO
8739,8739,18-24,2.0,Locals,No Degree,NOTSELECTED,120000,1487179595.78,health,JO
8740,8740,25-44,2.0,Locals,No Degree,NOTSELECTED,190000,1487179595.78,health,JO
