,Unnamed: 0.1,ages_ranges,genders,behavior,scholarities,relationship_statuses,audience,timestamp,topic,location
9180,9180,18-24,1.0,Expats,Graduated,NOTSELECTED,190000,1487518519.22,luxury,DZ
9181,9181,25-44,1.0,Expats,Graduated,NOTSELECTED,210000,1487518519.22,luxury,DZ
9182,9182,45+,1.0,Expats,Graduated,NOTSELECTED,28000,1487518519.22,luxury,DZ
9183,9183,18-24,2.0,Expats,Graduated,NOTSELECTED,81000,1487518519.22,luxury,DZ
9184,9184,25-44,2.0,Expats,Graduated,NOTSELECTED,55000,1487518519.22,luxury,DZ
9185,9185,45+,2.0,Expats,Graduated,NOTSELECTED,8200,1487518519.22,luxury,DZ
9186,9186,18-24,1.0,Expats,No Degree,NOTSELECTED,180000,1487518519.22,luxury,DZ
9187,9187,25-44,1.0,Expats,No Degree,NOTSELECTED,300000,1487518519.22,luxury,DZ
9188,9188,45+,1.0,Expats,No Degree,NOTSELECTED,48000,1487518519.22,luxury,DZ
9189,9189,18-24,2.0,Expats,No Degree,NOTSELECTED,110000,1487518519.22,luxury,DZ
9190,9190,25-44,2.0,Expats,No Degree,NOTSELECTED,98000,1487518519.22,luxury,DZ
9191,9191,45+,2.0,Expats,No Degree,NOTSELECTED,15000,1487518519.22,luxury,DZ
9192,9192,18-24,1.0,Expats,High School,NOTSELECTED,73000,1487518519.22,luxury,DZ
9193,9193,25-44,1.0,Expats,High School,NOTSELECTED,52000,1487518519.22,luxury,DZ
9194,9194,45+,1.0,Expats,High School,NOTSELECTED,9400,1487518519.22,luxury,DZ
9195,9195,18-24,2.0,Expats,High School,NOTSELECTED,34000,1487518519.22,luxury,DZ
9196,9196,25-44,2.0,Expats,High School,NOTSELECTED,16000,1487518519.22,luxury,DZ
9197,9197,45+,2.0,Expats,High School,NOTSELECTED,3400,1487518519.22,luxury,DZ
9198,9198,18-24,1.0,Locals,Graduated,NOTSELECTED,880000,1487518519.22,luxury,DZ
9199,9199,25-44,1.0,Locals,Graduated,NOTSELECTED,1300000,1487518519.22,luxury,DZ
9200,9200,45+,1.0,Locals,Graduated,NOTSELECTED,160000,1487518519.22,luxury,DZ
9201,9201,18-24,2.0,Locals,Graduated,NOTSELECTED,650000,1487518519.22,luxury,DZ
9202,9202,25-44,2.0,Locals,Graduated,NOTSELECTED,630000,1487518519.22,luxury,DZ
9203,9203,45+,2.0,Locals,Graduated,NOTSELECTED,56000,1487518519.22,luxury,DZ
9204,9204,18-24,1.0,Locals,No Degree,NOTSELECTED,1900000,1487518519.22,luxury,DZ
9205,9205,25-44,1.0,Locals,No Degree,NOTSELECTED,2600000,1487518519.22,luxury,DZ
9206,9206,45+,1.0,Locals,No Degree,NOTSELECTED,410000,1487518519.22,luxury,DZ
9207,9207,18-24,2.0,Locals,No Degree,NOTSELECTED,1500000,1487518519.22,luxury,DZ
9208,9208,25-44,2.0,Locals,No Degree,NOTSELECTED,1200000,1487518519.22,luxury,DZ
9209,9209,45+,2.0,Locals,No Degree,NOTSELECTED,170000,1487518519.22,luxury,DZ
9210,9210,18-24,1.0,Locals,High School,NOTSELECTED,420000,1487518519.22,luxury,DZ
