,ages_ranges,audience,behavior,citizenship,genders,relationship_statuses,scholarities,timestamp,topic,location
19278,18-24,30,ALL,India,1.0,NOTSELECTED,Graduated,1489924519,fast food,DZ
19279,25-44,140,ALL,India,1.0,NOTSELECTED,Graduated,1489924519,fast food,DZ
19280,45+,0,ALL,India,1.0,NOTSELECTED,Graduated,1489924519,fast food,DZ
19281,18-24,40,ALL,India,2.0,NOTSELECTED,Graduated,1489924519,fast food,DZ
19282,25-44,40,ALL,India,2.0,NOTSELECTED,Graduated,1489924519,fast food,DZ
19283,45+,0,ALL,India,2.0,NOTSELECTED,Graduated,1489924519,fast food,DZ
19284,18-24,0,ALL,India,1.0,NOTSELECTED,No Degree,1489924519,fast food,DZ
19285,25-44,70,ALL,India,1.0,NOTSELECTED,No Degree,1489924519,fast food,DZ
19286,45+,0,ALL,India,1.0,NOTSELECTED,No Degree,1489924519,fast food,DZ
19287,18-24,0,ALL,India,2.0,NOTSELECTED,No Degree,1489924519,fast food,DZ
19288,25-44,50,ALL,India,2.0,NOTSELECTED,No Degree,1489924519,fast food,DZ
19289,45+,0,ALL,India,2.0,NOTSELECTED,No Degree,1489924519,fast food,DZ
19290,18-24,0,ALL,India,1.0,NOTSELECTED,High School,1489924519,fast food,DZ
19291,25-44,0,ALL,India,1.0,NOTSELECTED,High School,1489924519,fast food,DZ
19292,45+,0,ALL,India,1.0,NOTSELECTED,High School,1489924519,fast food,DZ
19293,18-24,40,ALL,India,2.0,NOTSELECTED,High School,1489924519,fast food,DZ
19294,25-44,0,ALL,India,2.0,NOTSELECTED,High School,1489924519,fast food,DZ
19295,45+,0,ALL,India,2.0,NOTSELECTED,High School,1489924519,fast food,DZ
19296,18-24,0,ALL,Bangladesh,1.0,NOTSELECTED,Graduated,1489924519,fast food,DZ
19297,25-44,0,ALL,Bangladesh,1.0,NOTSELECTED,Graduated,1489924519,fast food,DZ
19298,45+,0,ALL,Bangladesh,1.0,NOTSELECTED,Graduated,1489924519,fast food,DZ
19299,18-24,0,ALL,Bangladesh,2.0,NOTSELECTED,Graduated,1489924519,fast food,DZ
19300,25-44,0,ALL,Bangladesh,2.0,NOTSELECTED,Graduated,1489924519,fast food,DZ
19301,45+,0,ALL,Bangladesh,2.0,NOTSELECTED,Graduated,1489924519,fast food,DZ
19302,18-24,0,ALL,Bangladesh,1.0,NOTSELECTED,No Degree,1489924519,fast food,DZ
19303,25-44,0,ALL,Bangladesh,1.0,NOTSELECTED,No Degree,1489924519,fast food,DZ
19304,45+,0,ALL,Bangladesh,1.0,NOTSELECTED,No Degree,1489924519,fast food,DZ
19305,18-24,0,ALL,Bangladesh,2.0,NOTSELECTED,No Degree,1489924519,fast food,DZ
19306,25-44,0,ALL,Bangladesh,2.0,NOTSELECTED,No Degree,1489924519,fast food,DZ
19307,45+,0,ALL,Bangladesh,2.0,NOTSELECTED,No Degree,1489924519,fast food,DZ
19308,18-24,0,ALL,Bangladesh,1.0,NOTSELECTED,High School,1489924519,fast food,DZ
19309,25-44,0,ALL,Bangladesh,1.0,NOTSELECTED,High School,1489924519,fast food,DZ
19310,45+,0,ALL,Bangladesh,1.0,NOTSELECTED,High School,1489924519,fast food,DZ
19311,18-24,0,ALL,Bangladesh,2.0,NOTSELECTED,High School,1489924519,fast food,DZ
19312,25-44,0,ALL,Bangladesh,2.0,NOTSELECTED,High School,1489924519,fast food,DZ
19313,45+,0,ALL,Bangladesh,2.0,NOTSELECTED,High School,1489924519,fast food,DZ
19314,18-24,0,ALL,Nepal,1.0,NOTSELECTED,Graduated,1489924519,fast food,DZ
19315,25-44,0,ALL,Nepal,1.0,NOTSELECTED,Graduated,1489924519,fast food,DZ
19316,45+,0,ALL,Nepal,1.0,NOTSELECTED,Graduated,1489924519,fast food,DZ
19317,18-24,0,ALL,Nepal,2.0,NOTSELECTED,Graduated,1489924519,fast food,DZ
19318,25-44,0,ALL,Nepal,2.0,NOTSELECTED,Graduated,1489924519,fast food,DZ
19319,45+,0,ALL,Nepal,2.0,NOTSELECTED,Graduated,1489924519,fast food,DZ
19320,18-24,0,ALL,Nepal,1.0,NOTSELECTED,No Degree,1489924519,fast food,DZ
19321,25-44,0,ALL,Nepal,1.0,NOTSELECTED,No Degree,1489924519,fast food,DZ
19322,45+,0,ALL,Nepal,1.0,NOTSELECTED,No Degree,1489924519,fast food,DZ
19323,18-24,0,ALL,Nepal,2.0,NOTSELECTED,No Degree,1489924519,fast food,DZ
19324,25-44,0,ALL,Nepal,2.0,NOTSELECTED,No Degree,1489924519,fast food,DZ
19325,45+,0,ALL,Nepal,2.0,NOTSELECTED,No Degree,1489924519,fast food,DZ
19326,18-24,0,ALL,Nepal,1.0,NOTSELECTED,High School,1489924519,fast food,DZ
19327,25-44,0,ALL,Nepal,1.0,NOTSELECTED,High School,1489924519,fast food,DZ
19328,45+,0,ALL,Nepal,1.0,NOTSELECTED,High School,1489924519,fast food,DZ
19329,18-24,0,ALL,Nepal,2.0,NOTSELECTED,High School,1489924519,fast food,DZ
19330,25-44,0,ALL,Nepal,2.0,NOTSELECTED,High School,1489924519,fast food,DZ
19331,45+,0,ALL,Nepal,2.0,NOTSELECTED,High School,1489924519,fast food,DZ
19332,18-24,30,ALL,Philippines,1.0,NOTSELECTED,Graduated,1489924519,fast food,DZ
19333,25-44,130,ALL,Philippines,1.0,NOTSELECTED,Graduated,1489924519,fast food,DZ
19334,45+,30,ALL,Philippines,1.0,NOTSELECTED,Graduated,1489924519,fast food,DZ
19335,18-24,30,ALL,Philippines,2.0,NOTSELECTED,Graduated,1489924519,fast food,DZ
19336,25-44,0,ALL,Philippines,2.0,NOTSELECTED,Graduated,1489924519,fast food,DZ
19337,45+,0,ALL,Philippines,2.0,NOTSELECTED,Graduated,1489924519,fast food,DZ
19338,18-24,40,ALL,Philippines,1.0,NOTSELECTED,No Degree,1489924519,fast food,DZ
19339,25-44,70,ALL,Philippines,1.0,NOTSELECTED,No Degree,1489924519,fast food,DZ
19340,45+,0,ALL,Philippines,1.0,NOTSELECTED,No Degree,1489924519,fast food,DZ
19341,18-24,0,ALL,Philippines,2.0,NOTSELECTED,No Degree,1489924519,fast food,DZ
19342,25-44,0,ALL,Philippines,2.0,NOTSELECTED,No Degree,1489924519,fast food,DZ
19343,45+,0,ALL,Philippines,2.0,NOTSELECTED,No Degree,1489924519,fast food,DZ
19344,18-24,0,ALL,Philippines,1.0,NOTSELECTED,High School,1489924519,fast food,DZ
19345,25-44,50,ALL,Philippines,1.0,NOTSELECTED,High School,1489924519,fast food,DZ
19346,45+,0,ALL,Philippines,1.0,NOTSELECTED,High School,1489924519,fast food,DZ
19347,18-24,0,ALL,Philippines,2.0,NOTSELECTED,High School,1489924519,fast food,DZ
19348,25-44,0,ALL,Philippines,2.0,NOTSELECTED,High School,1489924519,fast food,DZ
19349,45+,0,ALL,Philippines,2.0,NOTSELECTED,High School,1489924519,fast food,DZ
19350,18-24,10000,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,Graduated,1489924519,fast food,DZ
19351,25-44,7200,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,Graduated,1489924519,fast food,DZ
19352,45+,770,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,Graduated,1489924519,fast food,DZ
19353,18-24,3700,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,Graduated,1489924519,fast food,DZ
19354,25-44,2200,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,Graduated,1489924519,fast food,DZ
19355,45+,380,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,Graduated,1489924519,fast food,DZ
19356,18-24,3400,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,No Degree,1489924519,fast food,DZ
19357,25-44,2900,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,No Degree,1489924519,fast food,DZ
19358,45+,400,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,No Degree,1489924519,fast food,DZ
