,access_device,ages_ranges,audience,behavior,citizenship,genders,relationship_statuses,scholarities,timestamp,topic,location
13608,iOS,18-24,0,ALL,India,1.0,NOTSELECTED,Graduated,1489064001,fast food,West Bay
13609,iOS,25-44,550,ALL,India,1.0,NOTSELECTED,Graduated,1489064001,fast food,West Bay
13610,iOS,45+,60,ALL,India,1.0,NOTSELECTED,Graduated,1489064001,fast food,West Bay
13611,iOS,18-24,0,ALL,India,2.0,NOTSELECTED,Graduated,1489064001,fast food,West Bay
13612,iOS,25-44,0,ALL,India,2.0,NOTSELECTED,Graduated,1489064001,fast food,West Bay
13613,iOS,45+,0,ALL,India,2.0,NOTSELECTED,Graduated,1489064001,fast food,West Bay
13614,iOS,18-24,0,ALL,India,1.0,NOTSELECTED,No Degree,1489064001,fast food,West Bay
13615,iOS,25-44,60,ALL,India,1.0,NOTSELECTED,No Degree,1489064001,fast food,West Bay
13616,iOS,45+,0,ALL,India,1.0,NOTSELECTED,No Degree,1489064001,fast food,West Bay
13617,iOS,18-24,0,ALL,India,2.0,NOTSELECTED,No Degree,1489064001,fast food,West Bay
13618,iOS,25-44,0,ALL,India,2.0,NOTSELECTED,No Degree,1489064001,fast food,West Bay
13619,iOS,45+,0,ALL,India,2.0,NOTSELECTED,No Degree,1489064001,fast food,West Bay
13620,iOS,18-24,0,ALL,India,1.0,NOTSELECTED,High School,1489064001,fast food,West Bay
13621,iOS,25-44,0,ALL,India,1.0,NOTSELECTED,High School,1489064001,fast food,West Bay
13622,iOS,45+,0,ALL,India,1.0,NOTSELECTED,High School,1489064001,fast food,West Bay
13623,iOS,18-24,0,ALL,India,2.0,NOTSELECTED,High School,1489064001,fast food,West Bay
13624,iOS,25-44,0,ALL,India,2.0,NOTSELECTED,High School,1489064001,fast food,West Bay
13625,iOS,45+,0,ALL,India,2.0,NOTSELECTED,High School,1489064001,fast food,West Bay
13626,iOS,18-24,0,ALL,Bangladesh,1.0,NOTSELECTED,Graduated,1489064001,fast food,West Bay
13627,iOS,25-44,0,ALL,Bangladesh,1.0,NOTSELECTED,Graduated,1489064001,fast food,West Bay
13628,iOS,45+,0,ALL,Bangladesh,1.0,NOTSELECTED,Graduated,1489064001,fast food,West Bay
13629,iOS,18-24,0,ALL,Bangladesh,2.0,NOTSELECTED,Graduated,1489064001,fast food,West Bay
13630,iOS,25-44,0,ALL,Bangladesh,2.0,NOTSELECTED,Graduated,1489064001,fast food,West Bay
13631,iOS,45+,0,ALL,Bangladesh,2.0,NOTSELECTED,Graduated,1489064001,fast food,West Bay
13632,iOS,18-24,0,ALL,Bangladesh,1.0,NOTSELECTED,No Degree,1489064001,fast food,West Bay
13633,iOS,25-44,0,ALL,Bangladesh,1.0,NOTSELECTED,No Degree,1489064001,fast food,West Bay
13634,iOS,45+,0,ALL,Bangladesh,1.0,NOTSELECTED,No Degree,1489064001,fast food,West Bay
13635,iOS,18-24,0,ALL,Bangladesh,2.0,NOTSELECTED,No Degree,1489064001,fast food,West Bay
13636,iOS,25-44,60,ALL,Bangladesh,2.0,NOTSELECTED,No Degree,1489064001,fast food,West Bay
