,ages_ranges,audience,behavior,citizenship,genders,relationship_statuses,scholarities,timestamp,topic,location
21420,18-24,1400,ALL,India,1.0,NOTSELECTED,Graduated,1489924519,mobile phones gadgets,DZ
21421,25-44,2600,ALL,India,1.0,NOTSELECTED,Graduated,1489924519,mobile phones gadgets,DZ
21422,45+,350,ALL,India,1.0,NOTSELECTED,Graduated,1489924519,mobile phones gadgets,DZ
21423,18-24,780,ALL,India,2.0,NOTSELECTED,Graduated,1489924519,mobile phones gadgets,DZ
21424,25-44,680,ALL,India,2.0,NOTSELECTED,Graduated,1489924519,mobile phones gadgets,DZ
21425,45+,60,ALL,India,2.0,NOTSELECTED,Graduated,1489924519,mobile phones gadgets,DZ
21426,18-24,2200,ALL,India,1.0,NOTSELECTED,No Degree,1489924519,mobile phones gadgets,DZ
21427,25-44,4700,ALL,India,1.0,NOTSELECTED,No Degree,1489924519,mobile phones gadgets,DZ
21428,45+,630,ALL,India,1.0,NOTSELECTED,No Degree,1489924519,mobile phones gadgets,DZ
21429,18-24,1700,ALL,India,2.0,NOTSELECTED,No Degree,1489924519,mobile phones gadgets,DZ
21430,25-44,1300,ALL,India,2.0,NOTSELECTED,No Degree,1489924519,mobile phones gadgets,DZ
21431,45+,140,ALL,India,2.0,NOTSELECTED,No Degree,1489924519,mobile phones gadgets,DZ
21432,18-24,610,ALL,India,1.0,NOTSELECTED,High School,1489924519,mobile phones gadgets,DZ
21433,25-44,560,ALL,India,1.0,NOTSELECTED,High School,1489924519,mobile phones gadgets,DZ
21434,45+,120,ALL,India,1.0,NOTSELECTED,High School,1489924519,mobile phones gadgets,DZ
21435,18-24,540,ALL,India,2.0,NOTSELECTED,High School,1489924519,mobile phones gadgets,DZ
21436,25-44,150,ALL,India,2.0,NOTSELECTED,High School,1489924519,mobile phones gadgets,DZ
21437,45+,30,ALL,India,2.0,NOTSELECTED,High School,1489924519,mobile phones gadgets,DZ
21438,18-24,600,ALL,Bangladesh,1.0,NOTSELECTED,Graduated,1489924519,mobile phones gadgets,DZ
21439,25-44,880,ALL,Bangladesh,1.0,NOTSELECTED,Graduated,1489924519,mobile phones gadgets,DZ
21440,45+,90,ALL,Bangladesh,1.0,NOTSELECTED,Graduated,1489924519,mobile phones gadgets,DZ
21441,18-24,260,ALL,Bangladesh,2.0,NOTSELECTED,Graduated,1489924519,mobile phones gadgets,DZ
21442,25-44,130,ALL,Bangladesh,2.0,NOTSELECTED,Graduated,1489924519,mobile phones gadgets,DZ
21443,45+,0,ALL,Bangladesh,2.0,NOTSELECTED,Graduated,1489924519,mobile phones gadgets,DZ
21444,18-24,1300,ALL,Bangladesh,1.0,NOTSELECTED,No Degree,1489924519,mobile phones gadgets,DZ
21445,25-44,2200,ALL,Bangladesh,1.0,NOTSELECTED,No Degree,1489924519,mobile phones gadgets,DZ
21446,45+,390,ALL,Bangladesh,1.0,NOTSELECTED,No Degree,1489924519,mobile phones gadgets,DZ
21447,18-24,610,ALL,Bangladesh,2.0,NOTSELECTED,No Degree,1489924519,mobile phones gadgets,DZ
21448,25-44,460,ALL,Bangladesh,2.0,NOTSELECTED,No Degree,1489924519,mobile phones gadgets,DZ
21449,45+,0,ALL,Bangladesh,2.0,NOTSELECTED,No Degree,1489924519,mobile phones gadgets,DZ
21450,18-24,140,ALL,Bangladesh,1.0,NOTSELECTED,High School,1489924519,mobile phones gadgets,DZ
21451,25-44,200,ALL,Bangladesh,1.0,NOTSELECTED,High School,1489924519,mobile phones gadgets,DZ
21452,45+,0,ALL,Bangladesh,1.0,NOTSELECTED,High School,1489924519,mobile phones gadgets,DZ
21453,18-24,80,ALL,Bangladesh,2.0,NOTSELECTED,High School,1489924519,mobile phones gadgets,DZ
21454,25-44,70,ALL,Bangladesh,2.0,NOTSELECTED,High School,1489924519,mobile phones gadgets,DZ
21455,45+,0,ALL,Bangladesh,2.0,NOTSELECTED,High School,1489924519,mobile phones gadgets,DZ
21456,18-24,0,ALL,Nepal,1.0,NOTSELECTED,Graduated,1489924519,mobile phones gadgets,DZ
21457,25-44,0,ALL,Nepal,1.0,NOTSELECTED,Graduated,1489924519,mobile phones gadgets,DZ
21458,45+,0,ALL,Nepal,1.0,NOTSELECTED,Graduated,1489924519,mobile phones gadgets,DZ
21459,18-24,0,ALL,Nepal,2.0,NOTSELECTED,Graduated,1489924519,mobile phones gadgets,DZ
21460,25-44,0,ALL,Nepal,2.0,NOTSELECTED,Graduated,1489924519,mobile phones gadgets,DZ
21461,45+,0,ALL,Nepal,2.0,NOTSELECTED,Graduated,1489924519,mobile phones gadgets,DZ
21462,18-24,0,ALL,Nepal,1.0,NOTSELECTED,No Degree,1489924519,mobile phones gadgets,DZ
21463,25-44,60,ALL,Nepal,1.0,NOTSELECTED,No Degree,1489924519,mobile phones gadgets,DZ
21464,45+,0,ALL,Nepal,1.0,NOTSELECTED,No Degree,1489924519,mobile phones gadgets,DZ
21465,18-24,0,ALL,Nepal,2.0,NOTSELECTED,No Degree,1489924519,mobile phones gadgets,DZ
21466,25-44,0,ALL,Nepal,2.0,NOTSELECTED,No Degree,1489924519,mobile phones gadgets,DZ
21467,45+,0,ALL,Nepal,2.0,NOTSELECTED,No Degree,1489924519,mobile phones gadgets,DZ
21468,18-24,0,ALL,Nepal,1.0,NOTSELECTED,High School,1489924519,mobile phones gadgets,DZ
21469,25-44,0,ALL,Nepal,1.0,NOTSELECTED,High School,1489924519,mobile phones gadgets,DZ
21470,45+,0,ALL,Nepal,1.0,NOTSELECTED,High School,1489924519,mobile phones gadgets,DZ
21471,18-24,0,ALL,Nepal,2.0,NOTSELECTED,High School,1489924519,mobile phones gadgets,DZ
21472,25-44,0,ALL,Nepal,2.0,NOTSELECTED,High School,1489924519,mobile phones gadgets,DZ
21473,45+,0,ALL,Nepal,2.0,NOTSELECTED,High School,1489924519,mobile phones gadgets,DZ
21474,18-24,1600,ALL,Philippines,1.0,NOTSELECTED,Graduated,1489924519,mobile phones gadgets,DZ
21475,25-44,2900,ALL,Philippines,1.0,NOTSELECTED,Graduated,1489924519,mobile phones gadgets,DZ
21476,45+,310,ALL,Philippines,1.0,NOTSELECTED,Graduated,1489924519,mobile phones gadgets,DZ
21477,18-24,370,ALL,Philippines,2.0,NOTSELECTED,Graduated,1489924519,mobile phones gadgets,DZ
21478,25-44,290,ALL,Philippines,2.0,NOTSELECTED,Graduated,1489924519,mobile phones gadgets,DZ
21479,45+,0,ALL,Philippines,2.0,NOTSELECTED,Graduated,1489924519,mobile phones gadgets,DZ
21480,18-24,4300,ALL,Philippines,1.0,NOTSELECTED,No Degree,1489924519,mobile phones gadgets,DZ
21481,25-44,6800,ALL,Philippines,1.0,NOTSELECTED,No Degree,1489924519,mobile phones gadgets,DZ
21482,45+,1100,ALL,Philippines,1.0,NOTSELECTED,No Degree,1489924519,mobile phones gadgets,DZ
21483,18-24,910,ALL,Philippines,2.0,NOTSELECTED,No Degree,1489924519,mobile phones gadgets,DZ
21484,25-44,590,ALL,Philippines,2.0,NOTSELECTED,No Degree,1489924519,mobile phones gadgets,DZ
21485,45+,50,ALL,Philippines,2.0,NOTSELECTED,No Degree,1489924519,mobile phones gadgets,DZ
21486,18-24,540,ALL,Philippines,1.0,NOTSELECTED,High School,1489924519,mobile phones gadgets,DZ
21487,25-44,680,ALL,Philippines,1.0,NOTSELECTED,High School,1489924519,mobile phones gadgets,DZ
21488,45+,120,ALL,Philippines,1.0,NOTSELECTED,High School,1489924519,mobile phones gadgets,DZ
21489,18-24,180,ALL,Philippines,2.0,NOTSELECTED,High School,1489924519,mobile phones gadgets,DZ
21490,25-44,120,ALL,Philippines,2.0,NOTSELECTED,High School,1489924519,mobile phones gadgets,DZ
21491,45+,0,ALL,Philippines,2.0,NOTSELECTED,High School,1489924519,mobile phones gadgets,DZ
21492,18-24,120000,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,Graduated,1489924519,mobile phones gadgets,DZ
21493,25-44,100000,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,Graduated,1489924519,mobile phones gadgets,DZ
21494,45+,12000,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,Graduated,1489924519,mobile phones gadgets,DZ
21495,18-24,45000,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,Graduated,1489924519,mobile phones gadgets,DZ
21496,25-44,22000,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,Graduated,1489924519,mobile phones gadgets,DZ
21497,45+,3600,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,Graduated,1489924519,mobile phones gadgets,DZ
21498,18-24,66000,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,No Degree,1489924519,mobile phones gadgets,DZ
21499,25-44,79000,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,No Degree,1489924519,mobile phones gadgets,DZ
21500,45+,13000,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,No Degree,1489924519,mobile phones gadgets,DZ
21501,18-24,39000,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,No Degree,1489924519,mobile phones gadgets,DZ
21502,25-44,23000,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,No Degree,1489924519,mobile phones gadgets,DZ
21503,45+,4500,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,No Degree,1489924519,mobile phones gadgets,DZ
21504,18-24,46000,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,High School,1489924519,mobile phones gadgets,DZ
21505,25-44,23000,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,High School,1489924519,mobile phones gadgets,DZ
21506,45+,4000,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,High School,1489924519,mobile phones gadgets,DZ
21507,18-24,19000,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,High School,1489924519,mobile phones gadgets,DZ
21508,25-44,5600,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,High School,1489924519,mobile phones gadgets,DZ
21509,45+,1400,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,High School,1489924519,mobile phones gadgets,DZ
21510,18-24,840000,ALL,Not Expats,1.0,NOTSELECTED,Graduated,1489924519,mobile phones gadgets,DZ
21511,25-44,1300000,ALL,Not Expats,1.0,NOTSELECTED,Graduated,1489924519,mobile phones gadgets,DZ
21512,45+,150000,ALL,Not Expats,1.0,NOTSELECTED,Graduated,1489924519,mobile phones gadgets,DZ
21513,18-24,590000,ALL,Not Expats,2.0,NOTSELECTED,Graduated,1489924519,mobile phones gadgets,DZ
21514,25-44,590000,ALL,Not Expats,2.0,NOTSELECTED,Graduated,1489924519,mobile phones gadgets,DZ
21515,45+,52000,ALL,Not Expats,2.0,NOTSELECTED,Graduated,1489924519,mobile phones gadgets,DZ
21516,18-24,1800000,ALL,Not Expats,1.0,NOTSELECTED,No Degree,1489924519,mobile phones gadgets,DZ
21517,25-44,2600000,ALL,Not Expats,1.0,NOTSELECTED,No Degree,1489924519,mobile phones gadgets,DZ
21518,45+,410000,ALL,Not Expats,1.0,NOTSELECTED,No Degree,1489924519,mobile phones gadgets,DZ
21519,18-24,1500000,ALL,Not Expats,2.0,NOTSELECTED,No Degree,1489924519,mobile phones gadgets,DZ
21520,25-44,1200000,ALL,Not Expats,2.0,NOTSELECTED,No Degree,1489924519,mobile phones gadgets,DZ
21521,45+,170000,ALL,Not Expats,2.0,NOTSELECTED,No Degree,1489924519,mobile phones gadgets,DZ
21522,18-24,410000,ALL,Not Expats,1.0,NOTSELECTED,High School,1489924519,mobile phones gadgets,DZ
21523,25-44,390000,ALL,Not Expats,1.0,NOTSELECTED,High School,1489924519,mobile phones gadgets,DZ
21524,45+,58000,ALL,Not Expats,1.0,NOTSELECTED,High School,1489924519,mobile phones gadgets,DZ
21525,18-24,320000,ALL,Not Expats,2.0,NOTSELECTED,High School,1489924519,mobile phones gadgets,DZ
21526,25-44,150000,ALL,Not Expats,2.0,NOTSELECTED,High School,1489924519,mobile phones gadgets,DZ
21527,45+,24000,ALL,Not Expats,2.0,NOTSELECTED,High School,1489924519,mobile phones gadgets,DZ
21528,18-24,62000,ALL,Others,1.0,NOTSELECTED,Graduated,1489924519,mobile phones gadgets,DZ
21529,25-44,100000,ALL,Others,1.0,NOTSELECTED,Graduated,1489924519,mobile phones gadgets,DZ
21530,45+,14000,ALL,Others,1.0,NOTSELECTED,Graduated,1489924519,mobile phones gadgets,DZ
21531,18-24,35000,ALL,Others,2.0,NOTSELECTED,Graduated,1489924519,mobile phones gadgets,DZ
21532,25-44,32000,ALL,Others,2.0,NOTSELECTED,Graduated,1489924519,mobile phones gadgets,DZ
21533,45+,4100,ALL,Others,2.0,NOTSELECTED,Graduated,1489924519,mobile phones gadgets,DZ
21534,18-24,110000,ALL,Others,1.0,NOTSELECTED,No Degree,1489924519,mobile phones gadgets,DZ
21535,25-44,200000,ALL,Others,1.0,NOTSELECTED,No Degree,1489924519,mobile phones gadgets,DZ
21536,45+,33000,ALL,Others,1.0,NOTSELECTED,No Degree,1489924519,mobile phones gadgets,DZ
21537,18-24,70000,ALL,Others,2.0,NOTSELECTED,No Degree,1489924519,mobile phones gadgets,DZ
21538,25-44,71000,ALL,Others,2.0,NOTSELECTED,No Degree,1489924519,mobile phones gadgets,DZ
21539,45+,10000,ALL,Others,2.0,NOTSELECTED,No Degree,1489924519,mobile phones gadgets,DZ
21540,18-24,26000,ALL,Others,1.0,NOTSELECTED,High School,1489924519,mobile phones gadgets,DZ
