,ages_ranges,genders,behavior,scholarities,audience,topic,country_code
14688,18-24,1,Expats,Graduated,830079,Fighter Aircraft,Alabama
14689,25-44,1,Expats,Graduated,314151,Fighter Aircraft,Alabama
14690,45+,1,Expats,Graduated,519460,Fighter Aircraft,Alabama
14691,18-24,2,Expats,Graduated,134516,Fighter Aircraft,Alabama
14692,25-44,2,Expats,Graduated,445187,Fighter Aircraft,Alabama
14693,45+,2,Expats,Graduated,751824,Fighter Aircraft,Alabama
14694,18-24,1,Expats,No Degree,143311,Fighter Aircraft,Alabama
14695,25-44,1,Expats,No Degree,779742,Fighter Aircraft,Alabama
14696,45+,1,Expats,No Degree,411134,Fighter Aircraft,Alabama
14697,18-24,2,Expats,No Degree,414970,Fighter Aircraft,Alabama
14698,25-44,2,Expats,No Degree,190615,Fighter Aircraft,Alabama
14699,45+,2,Expats,No Degree,363130,Fighter Aircraft,Alabama
14700,18-24,1,Expats,High School,525253,Fighter Aircraft,Alabama
14701,25-44,1,Expats,High School,659782,Fighter Aircraft,Alabama
14702,45+,1,Expats,High School,285795,Fighter Aircraft,Alabama
14703,18-24,2,Expats,High School,327680,Fighter Aircraft,Alabama
14704,25-44,2,Expats,High School,722515,Fighter Aircraft,Alabama
14705,45+,2,Expats,High School,118239,Fighter Aircraft,Alabama
14706,18-24,1,Locals,Graduated,54396,Fighter Aircraft,Alabama
14707,25-44,1,Locals,Graduated,217069,Fighter Aircraft,Alabama
14708,45+,1,Locals,Graduated,210041,Fighter Aircraft,Alabama
14709,18-24,2,Locals,Graduated,525268,Fighter Aircraft,Alabama
14710,25-44,2,Locals,Graduated,351727,Fighter Aircraft,Alabama
14711,45+,2,Locals,Graduated,463119,Fighter Aircraft,Alabama
14712,18-24,1,Locals,No Degree,701650,Fighter Aircraft,Alabama
14713,25-44,1,Locals,No Degree,215996,Fighter Aircraft,Alabama
14714,45+,1,Locals,No Degree,55574,Fighter Aircraft,Alabama
14715,18-24,2,Locals,No Degree,340159,Fighter Aircraft,Alabama
14716,25-44,2,Locals,No Degree,614311,Fighter Aircraft,Alabama
14717,45+,2,Locals,No Degree,600358,Fighter Aircraft,Alabama
