,ages_ranges,genders,behavior,scholarities,audience,topic,location
1836,18-24,1.0,Expats,Graduated,120,Peace,Alabama
1837,25-44,1.0,Expats,Graduated,540,Peace,Alabama
1838,45+,1.0,Expats,Graduated,250,Peace,Alabama
1839,18-24,2.0,Expats,Graduated,170,Peace,Alabama
1840,25-44,2.0,Expats,Graduated,610,Peace,Alabama
1841,45+,2.0,Expats,Graduated,470,Peace,Alabama
1842,18-24,1.0,Expats,No Degree,200,Peace,Alabama
1843,25-44,1.0,Expats,No Degree,580,Peace,Alabama
1844,45+,1.0,Expats,No Degree,160,Peace,Alabama
1845,18-24,2.0,Expats,No Degree,140,Peace,Alabama
1846,25-44,2.0,Expats,No Degree,380,Peace,Alabama
1847,45+,2.0,Expats,No Degree,340,Peace,Alabama
1848,18-24,1.0,Expats,High School,130,Peace,Alabama
1849,25-44,1.0,Expats,High School,270,Peace,Alabama
1850,45+,1.0,Expats,High School,90,Peace,Alabama
1851,18-24,2.0,Expats,High School,170,Peace,Alabama
1852,25-44,2.0,Expats,High School,420,Peace,Alabama
1853,45+,2.0,Expats,High School,320,Peace,Alabama
1854,18-24,1.0,Locals,Graduated,940,Peace,Alabama
1855,25-44,1.0,Locals,Graduated,5100,Peace,Alabama
1856,45+,1.0,Locals,Graduated,8300,Peace,Alabama
1857,18-24,2.0,Locals,Graduated,2900,Peace,Alabama
1858,25-44,2.0,Locals,Graduated,21000,Peace,Alabama
1859,45+,2.0,Locals,Graduated,30000,Peace,Alabama
1860,18-24,1.0,Locals,No Degree,550,Peace,Alabama
1861,25-44,1.0,Locals,No Degree,1200,Peace,Alabama
1862,45+,1.0,Locals,No Degree,2700,Peace,Alabama
1863,18-24,2.0,Locals,No Degree,1700,Peace,Alabama
1864,25-44,2.0,Locals,No Degree,4700,Peace,Alabama
1865,45+,2.0,Locals,No Degree,12000,Peace,Alabama
1866,18-24,1.0,Locals,High School,1400,Peace,Alabama
1867,25-44,1.0,Locals,High School,3400,Peace,Alabama
1868,45+,1.0,Locals,High School,5500,Peace,Alabama
1869,18-24,2.0,Locals,High School,5100,Peace,Alabama
1870,25-44,2.0,Locals,High School,14000,Peace,Alabama
1871,45+,2.0,Locals,High School,22000,Peace,Alabama
1872,18-24,1.0,Expats,Graduated,20,Peace,Alaska
1873,25-44,1.0,Expats,Graduated,190,Peace,Alaska
1874,45+,1.0,Expats,Graduated,110,Peace,Alaska
1875,18-24,2.0,Expats,Graduated,20,Peace,Alaska
1876,25-44,2.0,Expats,Graduated,290,Peace,Alaska
1877,45+,2.0,Expats,Graduated,300,Peace,Alaska
1878,18-24,1.0,Expats,No Degree,20,Peace,Alaska
1879,25-44,1.0,Expats,No Degree,40,Peace,Alaska
1880,45+,1.0,Expats,No Degree,80,Peace,Alaska
1881,18-24,2.0,Expats,No Degree,30,Peace,Alaska
1882,25-44,2.0,Expats,No Degree,90,Peace,Alaska
1883,45+,2.0,Expats,No Degree,130,Peace,Alaska
1884,18-24,1.0,Expats,High School,20,Peace,Alaska
1885,25-44,1.0,Expats,High School,100,Peace,Alaska
1886,45+,1.0,Expats,High School,40,Peace,Alaska
1887,18-24,2.0,Expats,High School,70,Peace,Alaska
1888,25-44,2.0,Expats,High School,130,Peace,Alaska
1889,45+,2.0,Expats,High School,130,Peace,Alaska
1890,18-24,1.0,Locals,Graduated,110,Peace,Alaska
1891,25-44,1.0,Locals,Graduated,1100,Peace,Alaska
1892,45+,1.0,Locals,Graduated,1300,Peace,Alaska
1893,18-24,2.0,Locals,Graduated,300,Peace,Alaska
1894,25-44,2.0,Locals,Graduated,3000,Peace,Alaska
1895,45+,2.0,Locals,Graduated,3500,Peace,Alaska
1896,18-24,1.0,Locals,No Degree,150,Peace,Alaska
1897,25-44,1.0,Locals,No Degree,320,Peace,Alaska
1898,45+,1.0,Locals,No Degree,600,Peace,Alaska
1899,18-24,2.0,Locals,No Degree,420,Peace,Alaska
1900,25-44,2.0,Locals,No Degree,1000,Peace,Alaska
1901,45+,2.0,Locals,No Degree,1700,Peace,Alaska
1902,18-24,1.0,Locals,High School,270,Peace,Alaska
1903,25-44,1.0,Locals,High School,770,Peace,Alaska
1904,45+,1.0,Locals,High School,990,Peace,Alaska
1905,18-24,2.0,Locals,High School,850,Peace,Alaska
1906,25-44,2.0,Locals,High School,2300,Peace,Alaska
1907,45+,2.0,Locals,High School,2400,Peace,Alaska
1908,18-24,1.0,Expats,Graduated,390,Peace,Arizona
1909,25-44,1.0,Expats,Graduated,1800,Peace,Arizona
1910,45+,1.0,Expats,Graduated,1200,Peace,Arizona
1911,18-24,2.0,Expats,Graduated,690,Peace,Arizona
1912,25-44,2.0,Expats,Graduated,3700,Peace,Arizona
1913,45+,2.0,Expats,Graduated,3000,Peace,Arizona
1914,18-24,1.0,Expats,No Degree,270,Peace,Arizona
1915,25-44,1.0,Expats,No Degree,1100,Peace,Arizona
1916,45+,1.0,Expats,No Degree,840,Peace,Arizona
1917,18-24,2.0,Expats,No Degree,670,Peace,Arizona
1918,25-44,2.0,Expats,No Degree,2600,Peace,Arizona
1919,45+,2.0,Expats,No Degree,2700,Peace,Arizona
1920,18-24,1.0,Expats,High School,390,Peace,Arizona
1921,25-44,1.0,Expats,High School,950,Peace,Arizona
1922,45+,1.0,Expats,High School,450,Peace,Arizona
1923,18-24,2.0,Expats,High School,810,Peace,Arizona
1924,25-44,2.0,Expats,High School,2100,Peace,Arizona
1925,45+,2.0,Expats,High School,1300,Peace,Arizona
1926,18-24,1.0,Locals,Graduated,1500,Peace,Arizona
1927,25-44,1.0,Locals,Graduated,7300,Peace,Arizona
1928,45+,1.0,Locals,Graduated,12000,Peace,Arizona
1929,18-24,2.0,Locals,Graduated,3500,Peace,Arizona
1930,25-44,2.0,Locals,Graduated,22000,Peace,Arizona
1931,45+,2.0,Locals,Graduated,34000,Peace,Arizona
1932,18-24,1.0,Locals,No Degree,1200,Peace,Arizona
1933,25-44,1.0,Locals,No Degree,2300,Peace,Arizona
