,ages_ranges,genders,behavior,scholarities,audience,topic,country_code
18360,18-24,1.0,Expats,Graduated,1800,All War,Alabama
18361,25-44,1.0,Expats,Graduated,5900,All War,Alabama
18362,45+,1.0,Expats,Graduated,1500,All War,Alabama
18363,18-24,2.0,Expats,Graduated,450,All War,Alabama
18364,25-44,2.0,Expats,Graduated,1700,All War,Alabama
18365,45+,2.0,Expats,Graduated,930,All War,Alabama
18366,18-24,1.0,Expats,No Degree,2400,All War,Alabama
18367,25-44,1.0,Expats,No Degree,5000,All War,Alabama
18368,45+,1.0,Expats,No Degree,1100,All War,Alabama
18369,18-24,2.0,Expats,No Degree,540,All War,Alabama
18370,25-44,2.0,Expats,No Degree,1300,All War,Alabama
18371,45+,2.0,Expats,No Degree,730,All War,Alabama
18372,18-24,1.0,Expats,High School,1600,All War,Alabama
18373,25-44,1.0,Expats,High School,3100,All War,Alabama
18374,45+,1.0,Expats,High School,690,All War,Alabama
18375,18-24,2.0,Expats,High School,560,All War,Alabama
18376,25-44,2.0,Expats,High School,1100,All War,Alabama
18377,45+,2.0,Expats,High School,450,All War,Alabama
18378,18-24,1.0,Locals,Graduated,23000,All War,Alabama
18379,25-44,1.0,Locals,Graduated,84000,All War,Alabama
18380,45+,1.0,Locals,Graduated,60000,All War,Alabama
18381,18-24,2.0,Locals,Graduated,10000,All War,Alabama
18382,25-44,2.0,Locals,Graduated,48000,All War,Alabama
18383,45+,2.0,Locals,Graduated,47000,All War,Alabama
18384,18-24,1.0,Locals,No Degree,12000,All War,Alabama
18385,25-44,1.0,Locals,No Degree,24000,All War,Alabama
18386,45+,1.0,Locals,No Degree,23000,All War,Alabama
18387,18-24,2.0,Locals,No Degree,7300,All War,Alabama
18388,25-44,2.0,Locals,No Degree,10000,All War,Alabama
18389,45+,2.0,Locals,No Degree,17000,All War,Alabama
18390,18-24,1.0,Locals,High School,31000,All War,Alabama
18391,25-44,1.0,Locals,High School,63000,All War,Alabama
18392,45+,1.0,Locals,High School,42000,All War,Alabama
18393,18-24,2.0,Locals,High School,18000,All War,Alabama
18394,25-44,2.0,Locals,High School,32000,All War,Alabama
18395,45+,2.0,Locals,High School,34000,All War,Alabama
18396,18-24,1.0,Expats,Graduated,440,All War,Alaska
18397,25-44,1.0,Expats,Graduated,1600,All War,Alaska
18398,45+,1.0,Expats,Graduated,630,All War,Alaska
18399,18-24,2.0,Expats,Graduated,90,All War,Alaska
18400,25-44,2.0,Expats,Graduated,660,All War,Alaska
18401,45+,2.0,Expats,Graduated,380,All War,Alaska
18402,18-24,1.0,Expats,No Degree,270,All War,Alaska
18403,25-44,1.0,Expats,No Degree,540,All War,Alaska
18404,45+,1.0,Expats,No Degree,470,All War,Alaska
18405,18-24,2.0,Expats,No Degree,130,All War,Alaska
18406,25-44,2.0,Expats,No Degree,320,All War,Alaska
18407,45+,2.0,Expats,No Degree,240,All War,Alaska
18408,18-24,1.0,Expats,High School,370,All War,Alaska
18409,25-44,1.0,Expats,High School,960,All War,Alaska
18410,45+,1.0,Expats,High School,370,All War,Alaska
18411,18-24,2.0,Expats,High School,240,All War,Alaska
18412,25-44,2.0,Expats,High School,330,All War,Alaska
18413,45+,2.0,Expats,High School,230,All War,Alaska
18414,18-24,1.0,Locals,Graduated,3500,All War,Alaska
18415,25-44,1.0,Locals,Graduated,14000,All War,Alaska
18416,45+,1.0,Locals,Graduated,9300,All War,Alaska
18417,18-24,2.0,Locals,Graduated,1200,All War,Alaska
18418,25-44,2.0,Locals,Graduated,7400,All War,Alaska
18419,45+,2.0,Locals,Graduated,6200,All War,Alaska
18420,18-24,1.0,Locals,No Degree,2400,All War,Alaska
18421,25-44,1.0,Locals,No Degree,5200,All War,Alaska
18422,45+,1.0,Locals,No Degree,3800,All War,Alaska
18423,18-24,2.0,Locals,No Degree,1200,All War,Alaska
18424,25-44,2.0,Locals,No Degree,2200,All War,Alaska
18425,45+,2.0,Locals,No Degree,2900,All War,Alaska
