,ages_ranges,genders,behavior,scholarities,audience,topic,location
9180,18-24,1.0,Expats,Graduated,1500,War,Alabama
9181,25-44,1.0,Expats,Graduated,4400,War,Alabama
9182,45+,1.0,Expats,Graduated,1100,War,Alabama
9183,18-24,2.0,Expats,Graduated,320,War,Alabama
9184,25-44,2.0,Expats,Graduated,1400,War,Alabama
9185,45+,2.0,Expats,Graduated,570,War,Alabama
9186,18-24,1.0,Expats,No Degree,2100,War,Alabama
9187,25-44,1.0,Expats,No Degree,4100,War,Alabama
9188,45+,1.0,Expats,No Degree,880,War,Alabama
9189,18-24,2.0,Expats,No Degree,420,War,Alabama
9190,25-44,2.0,Expats,No Degree,1100,War,Alabama
9191,45+,2.0,Expats,No Degree,490,War,Alabama
9192,18-24,1.0,Expats,High School,1400,War,Alabama
9193,25-44,1.0,Expats,High School,2300,War,Alabama
9194,45+,1.0,Expats,High School,510,War,Alabama
9195,18-24,2.0,Expats,High School,450,War,Alabama
9196,25-44,2.0,Expats,High School,900,War,Alabama
9197,45+,2.0,Expats,High School,310,War,Alabama
9198,18-24,1.0,Locals,Graduated,16000,War,Alabama
9199,25-44,1.0,Locals,Graduated,51000,War,Alabama
9200,45+,1.0,Locals,Graduated,33000,War,Alabama
9201,18-24,2.0,Locals,Graduated,4800,War,Alabama
9202,25-44,2.0,Locals,Graduated,29000,War,Alabama
9203,45+,2.0,Locals,Graduated,27000,War,Alabama
9204,18-24,1.0,Locals,No Degree,9400,War,Alabama
9205,25-44,1.0,Locals,No Degree,16000,War,Alabama
9206,45+,1.0,Locals,No Degree,13000,War,Alabama
9207,18-24,2.0,Locals,No Degree,3500,War,Alabama
9208,25-44,2.0,Locals,No Degree,6200,War,Alabama
9209,45+,2.0,Locals,No Degree,9700,War,Alabama
9210,18-24,1.0,Locals,High School,22000,War,Alabama
9211,25-44,1.0,Locals,High School,40000,War,Alabama
9212,45+,1.0,Locals,High School,22000,War,Alabama
9213,18-24,2.0,Locals,High School,8500,War,Alabama
9214,25-44,2.0,Locals,High School,19000,War,Alabama
9215,45+,2.0,Locals,High School,19000,War,Alabama
9216,18-24,1.0,Expats,Graduated,320,War,Alaska
9217,25-44,1.0,Expats,Graduated,1200,War,Alaska
9218,45+,1.0,Expats,Graduated,400,War,Alaska
9219,18-24,2.0,Expats,Graduated,70,War,Alaska
9220,25-44,2.0,Expats,Graduated,470,War,Alaska
9221,45+,2.0,Expats,Graduated,220,War,Alaska
9222,18-24,1.0,Expats,No Degree,240,War,Alaska
9223,25-44,1.0,Expats,No Degree,390,War,Alaska
9224,45+,1.0,Expats,No Degree,280,War,Alaska
9225,18-24,2.0,Expats,No Degree,100,War,Alaska
9226,25-44,2.0,Expats,No Degree,190,War,Alaska
9227,45+,2.0,Expats,No Degree,100,War,Alaska
9228,18-24,1.0,Expats,High School,320,War,Alaska
9229,25-44,1.0,Expats,High School,670,War,Alaska
9230,45+,1.0,Expats,High School,250,War,Alaska
9231,18-24,2.0,Expats,High School,170,War,Alaska
9232,25-44,2.0,Expats,High School,230,War,Alaska
9233,45+,2.0,Expats,High School,90,War,Alaska
9234,18-24,1.0,Locals,Graduated,2500,War,Alaska
9235,25-44,1.0,Locals,Graduated,9500,War,Alaska
9236,45+,1.0,Locals,Graduated,5200,War,Alaska
9237,18-24,2.0,Locals,Graduated,620,War,Alaska
9238,25-44,2.0,Locals,Graduated,4300,War,Alaska
9239,45+,2.0,Locals,Graduated,3100,War,Alaska
9240,18-24,1.0,Locals,No Degree,1900,War,Alaska
9241,25-44,1.0,Locals,No Degree,3400,War,Alaska
9242,45+,1.0,Locals,No Degree,2000,War,Alaska
9243,18-24,2.0,Locals,No Degree,490,War,Alaska
