,interest,country_code,citizenship,gender,is_denominator,language,languages,max_age,min_age,scholarity,audience,age_range
3672,fitness and wellness,DZ,locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,460000,18-24.0
3674,fitness and wellness,EG,locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,830000,18-24.0
3675,fitness and wellness,IQ,locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,690000,18-24.0
3676,fitness and wellness,JO,locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,120000,18-24.0
3677,fitness and wellness,KW,locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,3800,18-24.0
3678,fitness and wellness,LB,locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,85000,18-24.0
3679,fitness and wellness,LY,locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,58000,18-24.0
3680,fitness and wellness,MA,locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,460000,18-24.0
3681,fitness and wellness,OM,locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,8000,18-24.0
3682,fitness and wellness,QA,locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,1800,18-24.0
3683,fitness and wellness,SA,locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,260000,18-24.0
3684,fitness and wellness,SO,locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,7800,18-24.0
3685,fitness and wellness,TN,locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,150000,18-24.0
3686,fitness and wellness,AE,locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,8000,18-24.0
3687,fitness and wellness,YE,locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,52000,18-24.0
3688,fitness and wellness,PS,locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,21000,18-24.0
3689,fitness and wellness,DZ,locals,Male,False,English,NOTSELECTED,24.0,18,ND,39000,18-24.0
3691,fitness and wellness,EG,locals,Male,False,English,NOTSELECTED,24.0,18,ND,110000,18-24.0
3692,fitness and wellness,IQ,locals,Male,False,English,NOTSELECTED,24.0,18,ND,110000,18-24.0
3693,fitness and wellness,JO,locals,Male,False,English,NOTSELECTED,24.0,18,ND,22000,18-24.0
3694,fitness and wellness,KW,locals,Male,False,English,NOTSELECTED,24.0,18,ND,4700,18-24.0
3695,fitness and wellness,LB,locals,Male,False,English,NOTSELECTED,24.0,18,ND,65000,18-24.0
3696,fitness and wellness,LY,locals,Male,False,English,NOTSELECTED,24.0,18,ND,7300,18-24.0
3697,fitness and wellness,MA,locals,Male,False,English,NOTSELECTED,24.0,18,ND,61000,18-24.0
